transcription,path_to_audio,speaker_id,native_language,gender,sewd_tiny_transcriptions
out of his eighteen hundred he laid aside sixteen hundred each year,data/l2arctic/NJS/wav/arctic_a0245.wav,NJS,Spanish,F,out of his eighteen hundred he laid aside sixteen hundred each year
you have heard always how he was the lover of the princess naomi,data/l2arctic/NJS/wav/arctic_a0246.wav,NJS,Spanish,F,he have hart always how he was the lover of the princes nowni
they ought to pass here some time today,data/l2arctic/NJS/wav/arctic_a0247.wav,NJS,Spanish,F,they ok topise here sometime today
i had been sad too long already,data/l2arctic/NJS/wav/arctic_a0248.wav,NJS,Spanish,F,a had been sat two long already
all eyes however were staring at him in certitude of expectancy,data/l2arctic/NJS/wav/arctic_a0249.wav,NJS,Spanish,F,oll eyes however were staring at him in sartitude of expectancy
he had observed the business life of hawaii and developed a vaulting ambition,data/l2arctic/NJS/wav/arctic_a0250.wav,NJS,Spanish,F,he had obsurved the business life of hawi and develop a volding embetion
i may manage to freight a cargo back as well,data/l2arctic/NJS/wav/arctic_a0251.wav,NJS,Spanish,F,i may mannage to frite a cargle back as well
obrien had been a clean living young man with ideals,data/l2arctic/NJS/wav/arctic_a0252.wav,NJS,Spanish,F,obrian had been a clean living young man with ideals
he it was that lived to found the family of the patino,data/l2arctic/NJS/wav/arctic_a0253.wav,NJS,Spanish,F,he it was the lieaved who found the family of the patino
straight out they swam their heads growing smaller and smaller,data/l2arctic/NJS/wav/arctic_a0254.wav,NJS,Spanish,F,strite ou they swum their heads growingess morner in tha s morner
see the length of the body and that elongated neck,data/l2arctic/NJS/wav/arctic_a0256.wav,NJS,Spanish,F,see the lanth of the body in tha illungated neck
they are coming ashore whoever they are,data/l2arctic/NJS/wav/arctic_a0257.wav,NJS,Spanish,F,there coming ta shore whoever they are
soaked in seawater they offset the heat rays,data/l2arctic/NJS/wav/arctic_a0258.wav,NJS,Spanish,F,supt in sea whare they off said the heat race
think of investing in such an adventure,data/l2arctic/NJS/wav/arctic_a0259.wav,NJS,Spanish,F,think of investigating in such an advanture
nobody knew his history they of the junta least of all,data/l2arctic/NJS/wav/arctic_a0260.wav,NJS,Spanish,F,nover knew his history day of the jorne that least of all
i have been doubly baptized,data/l2arctic/NJS/wav/arctic_a0261.wav,NJS,Spanish,F,i've been doubly butiste
they wouldnt be sweeping a big vessel like the martha,data/l2arctic/NJS/wav/arctic_a0262.wav,NJS,Spanish,F,there wouldn't be sweeping a beak vessel like the marta
joan looked triumphantly at sheldon who bowed,data/l2arctic/NJS/wav/arctic_a0263.wav,NJS,Spanish,F,jom looked from fiantly at sheldom who bowed
and i hope youve got plenty of chain out captain young,data/l2arctic/NJS/wav/arctic_a0264.wav,NJS,Spanish,F,in i hop y 've got planty of chain out captain young
the discovery seemed to have been made on the spur of the moment,data/l2arctic/NJS/wav/arctic_a0265.wav,NJS,Spanish,F,that discovery seemed to have been made on the sport of the moment
they handled two men already both grub thieves,data/l2arctic/NJS/wav/arctic_a0266.wav,NJS,Spanish,F,the handle to man already both grav fiefe
eli harding asked as shunk started to follow,data/l2arctic/NJS/wav/arctic_a0267.wav,NJS,Spanish,F,aily harding ask a sunk started to follow
now go ahead and tell me in a straightforward way what has happened,data/l2arctic/NJS/wav/arctic_a0268.wav,NJS,Spanish,F,now go ahead and tell me in a stray furler way what has happened
thats where they cut off the scottish chiefs and killed all hands,data/l2arctic/NJS/wav/arctic_a0269.wav,NJS,Spanish,F,tas where they could of the scottes shieves and killed o hands
and after the bath a shave would not be bad,data/l2arctic/NJS/wav/arctic_a0270.wav,NJS,Spanish,F,and after te bath a shave would not be bad
now please give a plain statement of what occurred,data/l2arctic/NJS/wav/arctic_a0271.wav,NJS,Spanish,F,no please give a plain estatement of what occurred
they are big trees and require plenty of room,data/l2arctic/NJS/wav/arctic_a0273.wav,NJS,Spanish,F,they are big trees in require plential room
and raoul listened again to the tale of the house,data/l2arctic/NJS/wav/arctic_a0274.wav,NJS,Spanish,F,and rolely sent again to the taile of the house
there are no kiddies and half grown youths among them,data/l2arctic/NJS/wav/arctic_a0275.wav,NJS,Spanish,F,there are no kities in have grown youts among them
oolong atoll was one hundred and forty miles in circumference,data/l2arctic/NJS/wav/arctic_a0276.wav,NJS,Spanish,F,olon ato was one hundred and forty miles in cir conference
mcoy found a stifling poisonous atmosphere in the pent cabin,data/l2arctic/NJS/wav/arctic_a0277.wav,NJS,Spanish,F,macoy found stiffling a poisonous admosphere in the pent cabin
it would give me nervous prostration,data/l2arctic/NJS/wav/arctic_a0278.wav,NJS,Spanish,F,it would give me narb's prostration
she said with chattering teeth,data/l2arctic/NJS/wav/arctic_a0279.wav,NJS,Spanish,F,she said with chettering teeth
ill be out of my head in fifteen minutes,data/l2arctic/NJS/wav/arctic_a0280.wav,NJS,Spanish,F,i'll be out of my head in fifteen minutes
i do not blame you for anything remember that,data/l2arctic/NJS/wav/arctic_a0281.wav,NJS,Spanish,F,i do not bland you for anything remember that
if you mean to insinuate brentwood began hotly,data/l2arctic/NJS/wav/arctic_a0282.wav,NJS,Spanish,F,if you mean to insinuate brenwould begun hutly
the woman in you is only incidental accidental and irrelevant,data/l2arctic/NJS/wav/arctic_a0283.wav,NJS,Spanish,F,the go mone in you is only incidental accidental and misralevant
there was no forecasting this strange girls processes,data/l2arctic/NJS/wav/arctic_a0284.wav,NJS,Spanish,F,there was no forcastymade these a strange girl's processive
but what they want with your toothbrush is more than i can imagine,data/l2arctic/NJS/wav/arctic_a0285.wav,NJS,Spanish,F,ut what they want with you to the brush is more than i can imagine
give them their choice between a fine or an official whipping,data/l2arctic/NJS/wav/arctic_a0286.wav,NJS,Spanish,F,given their choices between a fine or an official whipin
keep an eye on him,data/l2arctic/NJS/wav/arctic_a0287.wav,NJS,Spanish,F,keep an eye on him
those are my oysters he said at last,data/l2arctic/NJS/wav/arctic_a0288.wav,NJS,Spanish,F,those are my oysters he said alast
one by one the boys were captured,data/l2arctic/NJS/wav/arctic_a0290.wav,NJS,Spanish,F,one by one the boys were captured
the weeks had gone by and no overt acts had been attempted,data/l2arctic/NJS/wav/arctic_a0291.wav,NJS,Spanish,F,the weeks had gone by and no overax had been attempted
here in the midmorning the first casualty occurred,data/l2arctic/NJS/wav/arctic_a0292.wav,NJS,Spanish,F,here in the midmorning the first casurlti occurred
they were deep in the primeval forest,data/l2arctic/NJS/wav/arctic_a0293.wav,NJS,Spanish,F,hey were deep in the prinvo forest
he had been foiled in his attempt to escape,data/l2arctic/NJS/wav/arctic_a0294.wav,NJS,Spanish,F,he had been fall in his attempto escape
and twenty men could hold it with spears and arrows,data/l2arctic/NJS/wav/arctic_a0295.wav,NJS,Spanish,F,and twenty men good hold id wasbieers and aros
bassett was a fastidious man,data/l2arctic/NJS/wav/arctic_a0296.wav,NJS,Spanish,F,bassit was a fistiguse men
theres a big english general right now whose name is roberts,data/l2arctic/NJS/wav/arctic_a0297.wav,NJS,Spanish,F,dress a big english general rit now whose name is robberts
this tacit promise of continued acquaintance gave saxon a little joy thrill,data/l2arctic/NJS/wav/arctic_a0298.wav,NJS,Spanish,F,tistacic promise of continua acquaintance gave saxon a little joy throl
i tell you im disgusted with this adventure tomfoolery and rot,data/l2arctic/NJS/wav/arctic_a0299.wav,NJS,Spanish,F,i tell you i'm disgusted witl his ad vanture tonfilery inrrived
from my earliest recollection my sleep was a period of terror,data/l2arctic/NJS/wav/arctic_a0300.wav,NJS,Spanish,F,from an earliest recollection might sleep was a perid of terror
but all my dreams violated this law,data/l2arctic/NJS/wav/arctic_a0301.wav,NJS,Spanish,F,but all my dreams violated thislaw
it is very plausible to such people a most convincing hypothesis,data/l2arctic/NJS/wav/arctic_a0302.wav,NJS,Spanish,F,it is very plousible to such people and mus convinceing hypothesis
but they make the mistake of ignoring their own duality,data/l2arctic/NJS/wav/arctic_a0303.wav,NJS,Spanish,F,ut they make the mistake of ignoring their own duality
i graduated last of my class,data/l2arctic/NJS/wav/arctic_a0304.wav,NJS,Spanish,F,i graduated last of my class
they had no fixed values to be altered by adjectives and adverbs,data/l2arctic/NJS/wav/arctic_a0305.wav,NJS,Spanish,F,they had no fixed a values to be altor by abjectives in atworps
very early in my life i separated from my mother,data/l2arctic/NJS/wav/arctic_a0307.wav,NJS,Spanish,F,very arly my life i separated from my mother
his infernal chattering worries me even now as i think of it,data/l2arctic/NJS/wav/arctic_a0308.wav,NJS,Spanish,F,he's inferno chetering worries me eving now as i think of it
white leghorns said missus mortimer,data/l2arctic/NJS/wav/arctic_a0309.wav,NJS,Spanish,F,white langharnse said meetus mor timer
massage under tension was the cryptic reply,data/l2arctic/NJS/wav/arctic_a0310.wav,NJS,Spanish,F,massage andertension was a criptic reply
therefore hurrah for the game,data/l2arctic/NJS/wav/arctic_a0311.wav,NJS,Spanish,F,therefort who rite for te game
it lived in perpetual apprehension of that quarter of the compass,data/l2arctic/NJS/wav/arctic_a0312.wav,NJS,Spanish,F,e lived in perpatual apprehension of the quarter of the compess
broken tooth yelled with fright and pain,data/l2arctic/NJS/wav/arctic_a0313.wav,NJS,Spanish,F,broken tooth yelt would fright and pain
thus was momentum gained in the younger world,data/l2arctic/NJS/wav/arctic_a0314.wav,NJS,Spanish,F,thas was momen ton gain in the younger world
saxon waited for she knew a fresh idea had struck billy,data/l2arctic/NJS/wav/arctic_a0315.wav,NJS,Spanish,F,sexond waiting for she knew a fresidea had a struck billy
we had been chased by them ourselves more than once,data/l2arctic/NJS/wav/arctic_a0316.wav,NJS,Spanish,F,we have been chased by them ourselves more than ones
he was a wise hyena,data/l2arctic/NJS/wav/arctic_a0317.wav,NJS,Spanish,F,he was a wise hena
production is doubling and quadrupling upon itself,data/l2arctic/NJS/wav/arctic_a0318.wav,NJS,Spanish,F,prodection his doubling and quirbling upon itself
and the edinburgh evening news says with editorial gloom,data/l2arctic/NJS/wav/arctic_a0319.wav,NJS,Spanish,F,in the edimbra evening news says with editorial goom
with my strength i slammed it full into red eyes face,data/l2arctic/NJS/wav/arctic_a0320.wav,NJS,Spanish,F,with my strenth i slempted full into red eyes face
the log on which lop ear was lying got adrift,data/l2arctic/NJS/wav/arctic_a0321.wav,NJS,Spanish,F,the lock on which lop er was lying goft adrift
this is a common experience with all of us,data/l2arctic/NJS/wav/arctic_a0322.wav,NJS,Spanish,F,didi e common ex puies would all of us
it was not red eyes way to forego revenge so easily,data/l2arctic/NJS/wav/arctic_a0324.wav,NJS,Spanish,F,it was not reat eyes way to forgo revaindo easily
whiz zip bang lop ear screamed with sudden anguish,data/l2arctic/NJS/wav/arctic_a0325.wav,NJS,Spanish,F,wizip band lub er screen with sadden unguish
cherokee identified himself with his instinct,data/l2arctic/NJS/wav/arctic_a0326.wav,NJS,Spanish,F,ceroki identified himself with his instinct
they were less stooped than we less springy in their movements,data/l2arctic/NJS/wav/arctic_a0327.wav,NJS,Spanish,F,they were less stopped than we less u springy in their morvements
the fire people like ourselves lived in caves,data/l2arctic/NJS/wav/arctic_a0328.wav,NJS,Spanish,F,with firy people like ourselves leaved in caze
ah indeed,data/l2arctic/NJS/wav/arctic_a0329.wav,NJS,Spanish,F,ah indeed
red eye never committed a more outrageous deed,data/l2arctic/NJS/wav/arctic_a0330.wav,NJS,Spanish,F,rit i never commeted a more orageous need
poor little crooked leg was terribly scared,data/l2arctic/NJS/wav/arctic_a0331.wav,NJS,Spanish,F,ordly ti crook leg was terribly iskittered
unconsciously our yells and exclamations yielded to this rhythm,data/l2arctic/NJS/wav/arctic_a0332.wav,NJS,Spanish,F,unconsciously a yels and isclamations yielded to his rivm
this is no place for you,data/l2arctic/NJS/wav/arctic_a0333.wav,NJS,Spanish,F,is no place for you
hell knock you off a few sticks in no time,data/l2arctic/NJS/wav/arctic_a0334.wav,NJS,Spanish,F,he'ls knuck you ov a few sticks in no time
red eye swung back and forth on the branch farther down,data/l2arctic/NJS/wav/arctic_a0335.wav,NJS,Spanish,F,red eye swon back an fourth on the branch farther down
so unexpected was my charge that i knocked him off his feet,data/l2arctic/NJS/wav/arctic_a0336.wav,NJS,Spanish,F,so unexpected was my charge that i knocked him off his feet
encouraged by my conduct big face became a sudden ally,data/l2arctic/NJS/wav/arctic_a0337.wav,NJS,Spanish,F,encourage by mycondug bic face became a sadden alie
the fighting had now become intermittent,data/l2arctic/NJS/wav/arctic_a0338.wav,NJS,Spanish,F,he fighting had now become intermitent
they obeyed him and went here and there at his commands,data/l2arctic/NJS/wav/arctic_a0339.wav,NJS,Spanish,F,dey obeyed him and went here and there at his commands
why doggone you all shake again,data/l2arctic/NJS/wav/arctic_a0341.wav,NJS,Spanish,F,why don't gone you all shake again
seventeen no eighteen days ago,data/l2arctic/NJS/wav/arctic_a0342.wav,NJS,Spanish,F,seventeenh no eighteen daysic
you mean for this state general alberta,data/l2arctic/NJS/wav/arctic_a0343.wav,NJS,Spanish,F,you mean for these estate general alburda
he seemed to fill it with his tremendous vitality,data/l2arctic/NJS/wav/arctic_a0344.wav,NJS,Spanish,F,he seemed to feel it with his tremendouse vitality
she was trying to pass the apron string around him,data/l2arctic/NJS/wav/arctic_a0345.wav,NJS,Spanish,F,she was straying to pass the upr on stream aron him
get down and dig in,data/l2arctic/NJS/wav/arctic_a0346.wav,NJS,Spanish,F,get down and degin
they are greatly delighted with anything that is bright or giveth a sound,data/l2arctic/NJS/wav/arctic_a0347.wav,NJS,Spanish,F,thay greatly delighted with anything that his bright or giveens assouand
they only lifted seven hundred and fifty,data/l2arctic/NJS/wav/arctic_a0348.wav,NJS,Spanish,F,the only lift at seven hundred and fifty
it was simple in its way and no virtue of his,data/l2arctic/NJS/wav/arctic_a0349.wav,NJS,Spanish,F,it was simple in its way an no virtue of his
is that pat hanrahans mug looking hungry and willing,data/l2arctic/NJS/wav/arctic_a0350.wav,NJS,Spanish,F,is that poo hundramans mug looking hungry and willing
it was more like sugar,data/l2arctic/NJS/wav/arctic_a0351.wav,NJS,Spanish,F,it was more like sugar
im sure going along with you all elijah,data/l2arctic/NJS/wav/arctic_a0352.wav,NJS,Spanish,F,i'm sure going alone with you all aliga
here the explosion of mirth drowned him out,data/l2arctic/NJS/wav/arctic_a0353.wav,NJS,Spanish,F,hear the explosion of mirth drownd him out
fresh meat they failed to obtain,data/l2arctic/NJS/wav/arctic_a0354.wav,NJS,Spanish,F,fresh meet they fell to obtain
a burst of laughter was his reward,data/l2arctic/NJS/wav/arctic_a0355.wav,NJS,Spanish,F,a barst of laughter was his reword
you dont catch me at any such foolishness,data/l2arctic/NJS/wav/arctic_a0356.wav,NJS,Spanish,F,you don't catch me on any such foolishness
they continued valiantly to lie but the truth continued to outrun them,data/l2arctic/NJS/wav/arctic_a0358.wav,NJS,Spanish,F,they continued violuntly to lie but thet twoth continued to adrun them
earth and gravel seemed to fill the pan,data/l2arctic/NJS/wav/arctic_a0359.wav,NJS,Spanish,F,earth and gravels seemed to fill depen
but he no longer cared quite so much for that form of diversion,data/l2arctic/NJS/wav/arctic_a0360.wav,NJS,Spanish,F,but he no longer pate quite so much for thatform of deversion
but he did not broach it preferring to mature it carefully,data/l2arctic/NJS/wav/arctic_a0361.wav,NJS,Spanish,F,but he did not broachd it prefaring to macurate cirfully
nope not the slightest idea,data/l2arctic/NJS/wav/arctic_a0362.wav,NJS,Spanish,F,nope not this lightlest idea
its not an attempt to smash the market,data/l2arctic/NJS/wav/arctic_a0363.wav,NJS,Spanish,F,is not an attempt to smach the market
we have plenty of capital ourselves and yet we want more,data/l2arctic/NJS/wav/arctic_a0364.wav,NJS,Spanish,F,we have plenty of capital ourselves and yet we want more
these rumors may even originate with us,data/l2arctic/NJS/wav/arctic_a0365.wav,NJS,Spanish,F,dis rumors my even a reginate with us
a wildly exciting time was his during the week preceding thursday the eighteenth,data/l2arctic/NJS/wav/arctic_a0366.wav,NJS,Spanish,F,a widly exciting time was his duing the week proceeding thirsday the eighteenth
there is not an iota of truth in it certainly not,data/l2arctic/NJS/wav/arctic_a0367.wav,NJS,Spanish,F,here is not an iot of twoth in it certainly not
i just do appreciate it without being able to express my feelings,data/l2arctic/NJS/wav/arctic_a0368.wav,NJS,Spanish,F,i just do up preciaded without being able to express my feelings
in partnership with daylight the pair raided the san jose interurban,data/l2arctic/NJS/wav/arctic_a0369.wav,NJS,Spanish,F,imparnishit with delight that petorated the sanjose inte rorban
he saw all men in the business game doing this,data/l2arctic/NJS/wav/arctic_a0370.wav,NJS,Spanish,F,he saw all man in the business game doing this
it issued a rate of forty two dollars a car on charcoal,data/l2arctic/NJS/wav/arctic_a0371.wav,NJS,Spanish,F,it asued a rait of fourtey to dalars a car on charkle
he saw only the effect in a general sketchy way,data/l2arctic/NJS/wav/arctic_a0372.wav,NJS,Spanish,F,he saw only the effect in a general sketch youway
points of view new ideas life,data/l2arctic/NJS/wav/arctic_a0373.wav,NJS,Spanish,F,point of view knew ideas life
the butchers and meat cutters refused to handle meat destined for unfair restaurants,data/l2arctic/NJS/wav/arctic_a0375.wav,NJS,Spanish,F,the butchers and meet cutters refused to handle meed distint for unfurrestrancs
your price my son is just about thirty per week,data/l2arctic/NJS/wav/arctic_a0376.wav,NJS,Spanish,F,youreprise my son is jassabo thirty proeek
this sound did not disturb the hush and awe of the place,data/l2arctic/NJS/wav/arctic_a0377.wav,NJS,Spanish,F,the sound did not distorb the hush an ow of the place
thats why its boundaries are all gouged and jagged,data/l2arctic/NJS/wav/arctic_a0378.wav,NJS,Spanish,F,tha's what its bunderies are ol goised endiaged
how old are you daddy,data/l2arctic/NJS/wav/arctic_a0379.wav,NJS,Spanish,F,how whar are you daddy
but in the canyons water was plentiful and also a luxuriant forest growth,data/l2arctic/NJS/wav/arctic_a0380.wav,NJS,Spanish,F,ut in decanion's water was plentiful in alsa lusurian foris growth
my names ferguson,data/l2arctic/NJS/wav/arctic_a0381.wav,NJS,Spanish,F,my names furgleson
daylight found himself charmed and made curious by the little man,data/l2arctic/NJS/wav/arctic_a0382.wav,NJS,Spanish,F,delight found himself charmed and made curious by the latal man
to his surprise her answer was flat and uncompromising,data/l2arctic/NJS/wav/arctic_a0383.wav,NJS,Spanish,F,to hase of prise or answer was flet in uncompromising
the farmer works the soil and produces grain,data/l2arctic/NJS/wav/arctic_a0384.wav,NJS,Spanish,F,the farmer works the soil in produces grain
thats what carnegie did,data/l2arctic/NJS/wav/arctic_a0385.wav,NJS,Spanish,F,das what colnege did
i cant argue with you and you know that,data/l2arctic/NJS/wav/arctic_a0386.wav,NJS,Spanish,F,it can't ar you with you and you know that
bob growing disgusted turned back suddenly and attempted to pass mab,data/l2arctic/NJS/wav/arctic_a0387.wav,NJS,Spanish,F,bub growing disgusted turned back suddenly in attempting to pass mad
it was my idea to a tee,data/l2arctic/NJS/wav/arctic_a0388.wav,NJS,Spanish,F,it was my idea toity
mab she said,data/l2arctic/NJS/wav/arctic_a0389.wav,NJS,Spanish,F,math she said
ill go over tomorrow afternoon,data/l2arctic/NJS/wav/arctic_a0390.wav,NJS,Spanish,F,i'll go over to morrow afternoon
there is that magnificent bob eating his head off in the stable,data/l2arctic/NJS/wav/arctic_a0392.wav,NJS,Spanish,F,thrays that magnificent bob eating his head off in the stable
already he had begun borrowing from the banks,data/l2arctic/NJS/wav/arctic_a0393.wav,NJS,Spanish,F,already he had begun borrowing from the banks
its the strap hangers thatll keep us from going under,data/l2arctic/NJS/wav/arctic_a0394.wav,NJS,Spanish,F,is the strup hangers th'll keep us from going ander
as for himself werent the street railway earnings increasing steadily,data/l2arctic/NJS/wav/arctic_a0395.wav,NJS,Spanish,F,as for himselve wherein the streetwailway earnings ingreesing steadily
a rising tide of fat had submerged them,data/l2arctic/NJS/wav/arctic_a0396.wav,NJS,Spanish,F,a rising tight of fat had sumershed them
call me that again he murmured ecstatically,data/l2arctic/NJS/wav/arctic_a0397.wav,NJS,Spanish,F,calld me that again humormirit expectically
in the car were unwin and harrison while jones sat with the chauffeur,data/l2arctic/NJS/wav/arctic_a0398.wav,NJS,Spanish,F,in the car where unwin and carrison while jone sat with a shuffer
and heres another idea,data/l2arctic/NJS/wav/arctic_a0399.wav,NJS,Spanish,F,and here's a nother idea
manuel had one besetting sin,data/l2arctic/NJS/wav/arctic_a0400.wav,NJS,Spanish,F,manol had one besitinson
the man smiled grimly and brought a hatchet and a club,data/l2arctic/NJS/wav/arctic_a0401.wav,NJS,Spanish,F,the mana smiled grandly and brought a hatchet in a clop
curly rushed her antagonist who struck again and leaped aside,data/l2arctic/NJS/wav/arctic_a0402.wav,NJS,Spanish,F,carly riched her andtevonist who struck again and leipped aside
his newborn cunning gave him poise and control,data/l2arctic/NJS/wav/arctic_a0403.wav,NJS,Spanish,F,his new born cunning gave hem poise and control
perrault found one with head buried in the grub box,data/l2arctic/NJS/wav/arctic_a0404.wav,NJS,Spanish,F,throth and one with headbared in te gratbox
it seemed the ordained order of things that dogs should work,data/l2arctic/NJS/wav/arctic_a0405.wav,NJS,Spanish,F,it seimed the ordain orther of things that dogs should wark
and that was the last of francois and perrault,data/l2arctic/NJS/wav/arctic_a0406.wav,NJS,Spanish,F,and that  was the las of franso inperolld
mercedes screamed cried laughed and manifested the chaotic abandonment of hysteria,data/l2arctic/NJS/wav/arctic_a0407.wav,NJS,Spanish,F,mersetdas is grimmed gright laughed and manufested a geotic abandonmend of hystyria
he could feel a new stir in the land,data/l2arctic/NJS/wav/arctic_a0409.wav,NJS,Spanish,F,he could feel a new stur in the land
so we have to fit the boat throughout with oil lamps as well,data/l2arctic/NJS/wav/arctic_a0410.wav,NJS,Spanish,F,so we have to fee the boat throad with oid lamse as well
it will break our hearts and our backs to hoist anchor by hand,data/l2arctic/NJS/wav/arctic_a0411.wav,NJS,Spanish,F,illy break or hearts in our backs to hoise anquer by hand
there is another virtue in these bulkheads,data/l2arctic/NJS/wav/arctic_a0412.wav,NJS,Spanish,F,tress another virtuale indisbollheads
but im at the end of my resources,data/l2arctic/NJS/wav/arctic_a0413.wav,NJS,Spanish,F,ut i'm at the en of my resources
now our figuring was all right,data/l2arctic/NJS/wav/arctic_a0414.wav,NJS,Spanish,F,now our figuwing was all right
it lasted as a deterrent for two days,data/l2arctic/NJS/wav/arctic_a0415.wav,NJS,Spanish,F,it lasted as a decerent for two days
the added weight had a velocity of fifteen miles per hour,data/l2arctic/NJS/wav/arctic_a0416.wav,NJS,Spanish,F,the added weight had a vilosity of fifteen miles for hour
it is also an insidious deceitful sun,data/l2arctic/NJS/wav/arctic_a0417.wav,NJS,Spanish,F,it is alsonein sedius deseatful sun
the portuguese boy crawled nearer and nearer,data/l2arctic/NJS/wav/arctic_a0418.wav,NJS,Spanish,F,e purtacky's boy crowled nearer and nearer
the portuguese boy passed the hawaiian,data/l2arctic/NJS/wav/arctic_a0419.wav,NJS,Spanish,F,the partugi's boyd passed a howion
when i came to i was waving my hat and murmuring ecstatically,data/l2arctic/NJS/wav/arctic_a0420.wav,NJS,Spanish,F,when i came to i was waving my hat and murmuring extedically
by golly the boy wins,data/l2arctic/NJS/wav/arctic_a0421.wav,NJS,Spanish,F,y golli deboywins
halfway around the track one donkey got into an argument with its rider,data/l2arctic/NJS/wav/arctic_a0422.wav,NJS,Spanish,F,havewai around the trav one donke got into an argument with is riter
mcveigh when he returns from a trip to honolulu,data/l2arctic/NJS/wav/arctic_a0423.wav,NJS,Spanish,F,motway when he returns from a trap to conalulu
obviously it was a disease that could be contracted by contact,data/l2arctic/NJS/wav/arctic_a0424.wav,NJS,Spanish,F,obviously it was a disease that could be contracted by contact
they do not know the length of time of incubation,data/l2arctic/NJS/wav/arctic_a0426.wav,NJS,Spanish,F,they do not know the landth of time of incubation
enters now the psychology of the situation,data/l2arctic/NJS/wav/arctic_a0427.wav,NJS,Spanish,F,enterst now this ichology of the situation
it was not exactly a deportation,data/l2arctic/NJS/wav/arctic_a0428.wav,NJS,Spanish,F,it was not exactly a depotation
quick was the disappointment in his face yet smiling was the acquiescence,data/l2arctic/NJS/wav/arctic_a0429.wav,NJS,Spanish,F,quick was the disappoinment in his face yet smiling was their quastenser
nevertheless we found ourselves once more in the high seat of abundance,data/l2arctic/NJS/wav/arctic_a0430.wav,NJS,Spanish,F,nevertheless we found ourselves once more in the high seat of abundance
wada and na ka ta were in a bit of a funk,data/l2arctic/NJS/wav/arctic_a0431.wav,NJS,Spanish,F,waite in netada where in a beat of a funk
the boy at the wheel lost his head,data/l2arctic/NJS/wav/arctic_a0432.wav,NJS,Spanish,F,the boy of the wheel lost his head
to her the bridge was tambo which is the native for taboo,data/l2arctic/NJS/wav/arctic_a0433.wav,NJS,Spanish,F,to hear the bridchwas temble which is the native for tebu
a half a case of tobacco was worth three pounds,data/l2arctic/NJS/wav/arctic_a0434.wav,NJS,Spanish,F,a half a caze of tubacco was worth three pands
what do you mean by this outrageous conduct,data/l2arctic/NJS/wav/arctic_a0435.wav,NJS,Spanish,F,what are you mean by these o grate oust conduct
but martin smiled a superior smile,data/l2arctic/NJS/wav/arctic_a0436.wav,NJS,Spanish,F,ut markin smiled as superior smile
by that answer my professional medical prestige stood or fell,data/l2arctic/NJS/wav/arctic_a0437.wav,NJS,Spanish,F,by that answer my profession almedicall presteech is stud or fell
at sea monday march sixteenth nineteen o eight,data/l2arctic/NJS/wav/arctic_a0438.wav,NJS,Spanish,F,at sea monday mar sixteen nineteen our eight
at sea wednesday march eighteen nineteen o eight,data/l2arctic/NJS/wav/arctic_a0439.wav,NJS,Spanish,F,at se whene's they march eighteen nineteen ou eight
yes sir i corrected,data/l2arctic/NJS/wav/arctic_a0440.wav,NJS,Spanish,F,yessern i corrected
violent life and athletic sports had never appealed to me,data/l2arctic/NJS/wav/arctic_a0441.wav,NJS,Spanish,F,violing life in a thledicasporce had never appealed to me
he was worth nothing to the world,data/l2arctic/NJS/wav/arctic_a0443.wav,NJS,Spanish,F,he was worth nothing to the world
then you dont believe in altruism,data/l2arctic/NJS/wav/arctic_a0444.wav,NJS,Spanish,F,they done believe in all toisom
the creative joy i murmured,data/l2arctic/NJS/wav/arctic_a0445.wav,NJS,Spanish,F,the creative joy i murmoured
he deluged me overwhelmed me with argument,data/l2arctic/NJS/wav/arctic_a0446.wav,NJS,Spanish,F,he deloed me overwelld me with argument
ah it is growing dark and darker,data/l2arctic/NJS/wav/arctic_a0447.wav,NJS,Spanish,F,ah it's growing dark and darker
i was hump cabin boy on the schooner ghost,data/l2arctic/NJS/wav/arctic_a0448.wav,NJS,Spanish,F,i was hump cobbing boin on the shuner gust
a sinewy hand dripping with water was clutching the rail,data/l2arctic/NJS/wav/arctic_a0449.wav,NJS,Spanish,F,a sinoy hand dreaping with water was clutching the rail
no man ate of the seal meat or the oil,data/l2arctic/NJS/wav/arctic_a0450.wav,NJS,Spanish,F,no man aide of the seald meet or the oil
i noticed blood spouting from kerfoot left hand,data/l2arctic/NJS/wav/arctic_a0451.wav,NJS,Spanish,F,a not disblood is bouting from conforce left hand
three oilers and a fourth engineer was his greeting,data/l2arctic/NJS/wav/arctic_a0452.wav,NJS,Spanish,F,three oilers in a fourth ingineer was his greeting
eighteen hundred he calculated,data/l2arctic/NJS/wav/arctic_a0453.wav,NJS,Spanish,F,eightin handred he caltulated
the sharp voice of wolf larsen aroused me,data/l2arctic/NJS/wav/arctic_a0454.wav,NJS,Spanish,F,the shar voice of walflarsint aroused me
i obeyed and a minute or two later they stood before him,data/l2arctic/NJS/wav/arctic_a0455.wav,NJS,Spanish,F,ayobeyed in a meanen or too later they stood before him
but it wont continue she said with easy confidence,data/l2arctic/NJS/wav/arctic_a0456.wav,NJS,Spanish,F,but it once continue she said with easy confidence
what i saw i could not at first believe,data/l2arctic/NJS/wav/arctic_a0457.wav,NJS,Spanish,F,what i saw i could not at first believe
the stout wood was crushed like an eggshell,data/l2arctic/NJS/wav/arctic_a0458.wav,NJS,Spanish,F,the stout wood was crutch like an ek shall
