transcription,path_to_audio,speaker_id,native_language,gender,whisper_medium_transcriptions
he would first hunt up gregson and begin his work there,data/l2arctic/ERMS/wav/arctic_a0070.wav,ERMS,Spanish,M,he would first hand out the correction and begin his work there.!
what was the object of your little sensation,data/l2arctic/ERMS/wav/arctic_a0071.wav,ERMS,Spanish,M,what was the object of your little sensation?!
but who was eileens double,data/l2arctic/ERMS/wav/arctic_a0072.wav,ERMS,Spanish,M,but who was elene's double?!
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/ERMS/wav/arctic_a0073.wav,ERMS,Spanish,M,"the promoter's eyes were heavy, with little puffy bags under them.!"
and now down there eileen was waiting for him,data/l2arctic/ERMS/wav/arctic_a0074.wav,ERMS,Spanish,M,and now down there aileen was waiting for him.!
there has been a change she interrupted him,data/l2arctic/ERMS/wav/arctic_a0075.wav,ERMS,Spanish,M,there has been a change. she interrupts him.!
the gray eyes faltered the flush deepened,data/l2arctic/ERMS/wav/arctic_a0076.wav,ERMS,Spanish,M,"the gray eyes faltered, the flush deepened.!"
it is the fire partly she said,data/l2arctic/ERMS/wav/arctic_a0077.wav,ERMS,Spanish,M,"it is the fire, partly, she said.!"
then and at supper he tried to fathom her,data/l2arctic/ERMS/wav/arctic_a0078.wav,ERMS,Spanish,M,"then, an attacker, he tried to fathom her.!"
it was a large canoe,data/l2arctic/ERMS/wav/arctic_a0079.wav,ERMS,Spanish,M,it was a large canoe.!
what if jeanne failed him,data/l2arctic/ERMS/wav/arctic_a0080.wav,ERMS,Spanish,M,what if james failed him?!
what if she did not come to the rock,data/l2arctic/ERMS/wav/arctic_a0081.wav,ERMS,Spanish,M,what if she did not come to the rock?!
his face was streaming with blood,data/l2arctic/ERMS/wav/arctic_a0082.wav,ERMS,Spanish,M,his fate was streaming with blood.!
a shadow was creeping over pierres eyes,data/l2arctic/ERMS/wav/arctic_a0083.wav,ERMS,Spanish,M,a shadow was creeping over pyrrhus' eyes.!
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/ERMS/wav/arctic_a0084.wav,ERMS,Spanish,M,scarcely had he uttered the name when pierre's closing eyes should open.!
death had come with terrible suddenness,data/l2arctic/ERMS/wav/arctic_a0086.wav,ERMS,Spanish,M,that had come with terrible suddenness.!
philip bent lower and stared into the face of the dead man,data/l2arctic/ERMS/wav/arctic_a0087.wav,ERMS,Spanish,M,philip ben lauer and is turned into the face of the dead man.
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/ERMS/wav/arctic_a0088.wav,ERMS,Spanish,M,he made sure that the magazine was load and resumed his paddling.
the night glow was treacherous to shoot by,data/l2arctic/ERMS/wav/arctic_a0089.wav,ERMS,Spanish,M,the night glow was torturous to shoot by
the singing voice approached rapidly,data/l2arctic/ERMS/wav/arctic_a0090.wav,ERMS,Spanish,M,the singing voice approach rapidly.
his blood grew hot with rage at the thought,data/l2arctic/ERMS/wav/arctic_a0091.wav,ERMS,Spanish,M,his blood green-hot with a rage at the thought.
he went down in midstream searching the shadows of both shores,data/l2arctic/ERMS/wav/arctic_a0092.wav,ERMS,Spanish,M,he went down in midstream searching the shadows of both shores.
for a full minute he crouched and listened,data/l2arctic/ERMS/wav/arctic_a0093.wav,ERMS,Spanish,M,for a full minute he crouched and listened
he had barely entered this when he saw the glow of a fire,data/l2arctic/ERMS/wav/arctic_a0094.wav,ERMS,Spanish,M,he had barely entered this when he saw the glow of a fire.
a big canvas tent was the first thing to come within his vision,data/l2arctic/ERMS/wav/arctic_a0095.wav,ERMS,Spanish,M,a big canvas tent was the first thing to come within his vision
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/ERMS/wav/arctic_a0096.wav,ERMS,Spanish,M,perhaps she had already met her fate a little deeper in the forest.
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/ERMS/wav/arctic_a0097.wav,ERMS,Spanish,M,then you can arrange yourself comfortably among these ropes in the boat.
shall i carry you,data/l2arctic/ERMS/wav/arctic_a0098.wav,ERMS,Spanish,M,shall i carry you?
a maddening joy pounded in his brain,data/l2arctic/ERMS/wav/arctic_a0099.wav,ERMS,Spanish,M,a maddening joy pounded in his brain.
you must sleep he urged,data/l2arctic/ERMS/wav/arctic_a0100.wav,ERMS,Spanish,M,the mass lip huge.
you you would not keep the truth from me,data/l2arctic/ERMS/wav/arctic_a0101.wav,ERMS,Spanish,M,you... you would not keep the truth from me.
but there came no promise from the bow of the canoe,data/l2arctic/ERMS/wav/arctic_a0103.wav,ERMS,Spanish,M,but there came the promise from the bow of the canoe.
she was sleeping under his protection as sweetly as a child,data/l2arctic/ERMS/wav/arctic_a0104.wav,ERMS,Spanish,M,"she was sleeping under his protection, as sweetly as a child."
only it is so wonderful so almost impossible to believe,data/l2arctic/ERMS/wav/arctic_a0105.wav,ERMS,Spanish,M,"only it is so wonderful, so almost impossible to believe."
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/ERMS/wav/arctic_a0106.wav,ERMS,Spanish,M,the emotion which she had suppressed burst forth now in a shocking sub.
if you only could know how i thank you,data/l2arctic/ERMS/wav/arctic_a0107.wav,ERMS,Spanish,M,if you only could know how i thank you.
he waded into the edge of the water and began scrubbing himself,data/l2arctic/ERMS/wav/arctic_a0108.wav,ERMS,Spanish,M,he wade into the edge of the water and began scrambling himself.
do you know that you are shaking my confidence in you,data/l2arctic/ERMS/wav/arctic_a0109.wav,ERMS,Spanish,M,do you know that you are shaking my confidence in you?
much replied jeanne as tersely,data/l2arctic/ERMS/wav/arctic_a0110.wav,ERMS,Spanish,M,match reply gene as thursday
instead he joined her and they ate like two hungry children,data/l2arctic/ERMS/wav/arctic_a0111.wav,ERMS,Spanish,M,"instead, he joins her and they age like two hungry children."
he was wounded in the arm,data/l2arctic/ERMS/wav/arctic_a0112.wav,ERMS,Spanish,M,he was wounded in the arm.
i suppose you picked that lingo up among the indians,data/l2arctic/ERMS/wav/arctic_a0113.wav,ERMS,Spanish,M,i suppose you picked that lingo up among the indians.
her words sent a strange chill through philip,data/l2arctic/ERMS/wav/arctic_a0114.wav,ERMS,Spanish,M,her words sent a strange yell to philip.
he had no excuse for the feelings which were aroused in him,data/l2arctic/ERMS/wav/arctic_a0115.wav,ERMS,Spanish,M,he had no excuse for the feelings which were aroused in him.
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/ERMS/wav/arctic_a0116.wav,ERMS,Spanish,M,was it the rentables of those who were striving to work his ruin?
she added with genuine sympathy in her face and voice,data/l2arctic/ERMS/wav/arctic_a0117.wav,ERMS,Spanish,M,she had with genuine sympathy in her face and voice.
pierre obeys me when we are together,data/l2arctic/ERMS/wav/arctic_a0118.wav,ERMS,Spanish,M,pierre obeys me when we are together.
my right foot feels like that of a chinese debutante,data/l2arctic/ERMS/wav/arctic_a0120.wav,ERMS,Spanish,M,my right foot feels like that of a chinese debutant.
they ate dinner at the fifth and rested for two hours,data/l2arctic/ERMS/wav/arctic_a0121.wav,ERMS,Spanish,M,they ate dinner at the fifth and rested for two hours.!!
two years ago i gave up civilization for this,data/l2arctic/ERMS/wav/arctic_a0122.wav,ERMS,Spanish,M,two years ago i gave up civilization for this.!!
she had died from cold and starvation,data/l2arctic/ERMS/wav/arctic_a0123.wav,ERMS,Spanish,M,she had died from cold and starvation.!!
it was jeanne singing softly over beyond the rocks,data/l2arctic/ERMS/wav/arctic_a0124.wav,ERMS,Spanish,M,it was jin singing softly over region the rocks.!!
he was determined now to maintain a more certain hold upon himself,data/l2arctic/ERMS/wav/arctic_a0125.wav,ERMS,Spanish,M,he was determined now to maintain a more certain hold upon himself.!!
each day she became a more vital part of him,data/l2arctic/ERMS/wav/arctic_a0126.wav,ERMS,Spanish,M,each day she became a more violent part of him!!
it was a temptation but he resisted it,data/l2arctic/ERMS/wav/arctic_a0127.wav,ERMS,Spanish,M,"it was a temptation, but he resisted it.!!"
this one hope was destroyed as quickly as it was born,data/l2arctic/ERMS/wav/arctic_a0128.wav,ERMS,Spanish,M,this one hop was destroyed as quickly as it was born.!!
her face was against his breast,data/l2arctic/ERMS/wav/arctic_a0129.wav,ERMS,Spanish,M,her face was against his breast.!!
she was his now forever,data/l2arctic/ERMS/wav/arctic_a0130.wav,ERMS,Spanish,M,"she was his now, forever.!!"
providence had delivered him through the maelstrom,data/l2arctic/ERMS/wav/arctic_a0131.wav,ERMS,Spanish,M,providence had delivered him to the maelstrom.!!
a cry of joy burst from philips lips,data/l2arctic/ERMS/wav/arctic_a0132.wav,ERMS,Spanish,M,a cry of joy bursts from he lips lips!!
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/ERMS/wav/arctic_a0133.wav,ERMS,Spanish,M,philip began to feel that he had foolishly overestimated his strength.!!
he obeyed the pressure of her hand,data/l2arctic/ERMS/wav/arctic_a0134.wav,ERMS,Spanish,M,he obeyed the pressure of her hand.!!
i am going to surprise father and you will go with pierre,data/l2arctic/ERMS/wav/arctic_a0135.wav,ERMS,Spanish,M,i am going to surprise father and you will go with fear.!!
then he stepped back with a low cry of pleasure,data/l2arctic/ERMS/wav/arctic_a0137.wav,ERMS,Spanish,M,then he stepped back with a low cry of pleasure.!!
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/ERMS/wav/arctic_a0138.wav,ERMS,Spanish,M,in the picture he saw each moment of greater resemblance to jean.
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/ERMS/wav/arctic_a0139.wav,ERMS,Spanish,M,he told himself that as he watched himself and grew his dechewel clothes.
accept a fathers blessing and with it this,data/l2arctic/ERMS/wav/arctic_a0140.wav,ERMS,Spanish,M,accept a father's blessing. and we read this.
it seems like a strange pointing of the hand of god,data/l2arctic/ERMS/wav/arctic_a0141.wav,ERMS,Spanish,M,it seems like a strange pointing of the hand of god.
such things had occurred before he told philip,data/l2arctic/ERMS/wav/arctic_a0142.wav,ERMS,Spanish,M,such things had occurred before he told philip.
ah i had forgotten he exclaimed,data/l2arctic/ERMS/wav/arctic_a0143.wav,ERMS,Spanish,M,"ah, i had forgotten his claim."
but there was something even more startling than this resemblance,data/l2arctic/ERMS/wav/arctic_a0144.wav,ERMS,Spanish,M,but there was something even more stuttering than his resemblance.
i have to be careful of them as they tear very easily,data/l2arctic/ERMS/wav/arctic_a0145.wav,ERMS,Spanish,M,i have to be careful of them as they tear very easily.
of course that is uninteresting she continued,data/l2arctic/ERMS/wav/arctic_a0146.wav,ERMS,Spanish,M,"of course, that is uninteresting. she continued."
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/ERMS/wav/arctic_a0147.wav,ERMS,Spanish,M,a moment before he was intoxicated by a joy that was almost madness.
now these things had been struck dead within him,data/l2arctic/ERMS/wav/arctic_a0148.wav,ERMS,Spanish,M,now these things had been struck dead within him.
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/ERMS/wav/arctic_a0149.wav,ERMS,Spanish,M,"for an instant, he's appeared round like a silhouette against the sky"
goodbye pierre he shouted,data/l2arctic/ERMS/wav/arctic_a0150.wav,ERMS,Spanish,M,"goodbye, pierre. he chowed it."
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/ERMS/wav/arctic_a0151.wav,ERMS,Spanish,M,and macdougall was beyond the trail with three weeks to spare.
philip thrust himself against it and entered,data/l2arctic/ERMS/wav/arctic_a0152.wav,ERMS,Spanish,M,philip trusts himself against it and entered.
he was smooth shaven and his hair and eyes were black,data/l2arctic/ERMS/wav/arctic_a0154.wav,ERMS,Spanish,M,he was smooth shaven and his hair and eyes were black.
wont you draw up gentlemen,data/l2arctic/ERMS/wav/arctic_a0155.wav,ERMS,Spanish,M,"won't you drop up, gentlemen?!"
a strange fire burned in his eyes when thorpe turned,data/l2arctic/ERMS/wav/arctic_a0156.wav,ERMS,Spanish,M,a strange fire burned in his eyes when thor turned!
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/ERMS/wav/arctic_a0157.wav,ERMS,Spanish,M,"he had worshipped her, as dante might have worshipped beatrice.!"
does that look good,data/l2arctic/ERMS/wav/arctic_a0158.wav,ERMS,Spanish,M,does that look good?!
they look as though he had been drumming a piano all his life,data/l2arctic/ERMS/wav/arctic_a0159.wav,ERMS,Spanish,M,they look as though he had been drumming a piano all his life.!
you want to go over and see his gang throw dirt,data/l2arctic/ERMS/wav/arctic_a0160.wav,ERMS,Spanish,M,you want to go over and see his gang throughout the earth.!
take away their foreman and they wouldnt be worth their grub,data/l2arctic/ERMS/wav/arctic_a0161.wav,ERMS,Spanish,M,take away their foremen and they wouldn't be worth their grab.!
thats the sub foreman explained thorpe,data/l2arctic/ERMS/wav/arctic_a0162.wav,ERMS,Spanish,M,that's the soup for an explained torp!
philip made no effort to follow,data/l2arctic/ERMS/wav/arctic_a0163.wav,ERMS,Spanish,M,philip made no effort to follow.!
he came first a year ago and revealed himself to jeanne,data/l2arctic/ERMS/wav/arctic_a0164.wav,ERMS,Spanish,M,he came first a year ago and revealed himself to jin.!
they are to attack your camp tomorrow night,data/l2arctic/ERMS/wav/arctic_a0165.wav,ERMS,Spanish,M,they are to attack your camp tomorrow night.!
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/ERMS/wav/arctic_a0166.wav,ERMS,Spanish,M,"two days ago, jean learned where her father's men were hiding.!"
i was near the cabin and saw you,data/l2arctic/ERMS/wav/arctic_a0167.wav,ERMS,Spanish,M,i was near the cabin and saw you.!
a low bush whipped him in the face and left no sting,data/l2arctic/ERMS/wav/arctic_a0168.wav,ERMS,Spanish,M,a low bash whited him in the face and left no sting.!
suddenly jeanne stopped for an instant,data/l2arctic/ERMS/wav/arctic_a0169.wav,ERMS,Spanish,M,suddenly jin stopped for an instant!
and when you come back in a few days bring eileen,data/l2arctic/ERMS/wav/arctic_a0171.wav,ERMS,Spanish,M,and when you come back in a few days bring a ling.!
gregson had left the outer door slightly ajar,data/l2arctic/ERMS/wav/arctic_a0172.wav,ERMS,Spanish,M,gregson had left the outdoor door slightly ajar.
the date was nearly eighteen years old,data/l2arctic/ERMS/wav/arctic_a0173.wav,ERMS,Spanish,M,the day was nearly 18 years old.
they were the presage of storm,data/l2arctic/ERMS/wav/arctic_a0174.wav,ERMS,Spanish,M,they were the precious of a storm.
down there the earth was already swelling with life,data/l2arctic/ERMS/wav/arctic_a0175.wav,ERMS,Spanish,M,down there the air was already swelling with life.
for the first time in his life he was yearning for a scrap,data/l2arctic/ERMS/wav/arctic_a0176.wav,ERMS,Spanish,M,"for the first time in his life, he was yearning for a scrap."
she had been thoroughly and efficiently mauled,data/l2arctic/ERMS/wav/arctic_a0177.wav,ERMS,Spanish,M,she had been totally and efficiently mauled.
every bone in her aged body seemed broken or dislocated,data/l2arctic/ERMS/wav/arctic_a0178.wav,ERMS,Spanish,M,every bone in her aged body seen broken or dislocated.
tomorrow im going after that bear he said,data/l2arctic/ERMS/wav/arctic_a0179.wav,ERMS,Spanish,M,"tomorrow i'm going after the bear, he said."
if not lets say our prayers and go to bed,data/l2arctic/ERMS/wav/arctic_a0180.wav,ERMS,Spanish,M,"if not, let's say our prayers and go to bed."
so cheer up and give us your paw,data/l2arctic/ERMS/wav/arctic_a0181.wav,ERMS,Spanish,M,so cheer up and give us your poll.
this time he did not yap for mercy,data/l2arctic/ERMS/wav/arctic_a0182.wav,ERMS,Spanish,M,this time he did not jump for mercy.
and the air was growing chilly,data/l2arctic/ERMS/wav/arctic_a0183.wav,ERMS,Spanish,M,and the air was growing chilly.
dont you see im chewing this thing in two,data/l2arctic/ERMS/wav/arctic_a0184.wav,ERMS,Spanish,M,don't you see? i'm chewing this thing in two
the questions may have come vaguely in his mind,data/l2arctic/ERMS/wav/arctic_a0185.wav,ERMS,Spanish,M,the questions may have come vaguely in his mind.
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/ERMS/wav/arctic_a0186.wav,ERMS,Spanish,M,"like a flash, he launched himself into the feathered mass of the old."
two gigantic owls were tearing at the carcass,data/l2arctic/ERMS/wav/arctic_a0188.wav,ERMS,Spanish,M,two gigantic holes were tearing at the carcass.
the big eyed clucking moose birds were most annoying,data/l2arctic/ERMS/wav/arctic_a0189.wav,ERMS,Spanish,M,the big eyed clucking moose beards were almost annoying.
next to them the canada jays were most persistent,data/l2arctic/ERMS/wav/arctic_a0190.wav,ERMS,Spanish,M,"next to them, the canada jays were most persistent."
for a time the exciting thrill of his adventure was gone,data/l2arctic/ERMS/wav/arctic_a0191.wav,ERMS,Spanish,M,for a time the exciting thrill of his adventure was gone.
he did not rush in,data/l2arctic/ERMS/wav/arctic_a0192.wav,ERMS,Spanish,M,he did not russian
it was edged with ice,data/l2arctic/ERMS/wav/arctic_a0193.wav,ERMS,Spanish,M,it was etched with ice.
he drank of the water cautiously,data/l2arctic/ERMS/wav/arctic_a0194.wav,ERMS,Spanish,M,he drank off the water cautiously.
but a strange thing happened,data/l2arctic/ERMS/wav/arctic_a0195.wav,ERMS,Spanish,M,but a strange thing happened.
he began to follow the footprints of the dog,data/l2arctic/ERMS/wav/arctic_a0196.wav,ERMS,Spanish,M,he began to follow the footprints of the duck.
such a dog the wise driver kills or turns loose,data/l2arctic/ERMS/wav/arctic_a0197.wav,ERMS,Spanish,M,such as duck the wise driver skills or turns loose
sometimes her dreams were filled with visions,data/l2arctic/ERMS/wav/arctic_a0198.wav,ERMS,Spanish,M,sometimes her dreams were filled with visions.
thus had the raw wilderness prepared him for this day,data/l2arctic/ERMS/wav/arctic_a0199.wav,ERMS,Spanish,M,thus had the raw will-learners prepared him for this day.
he leapt again and the club caught him once more,data/l2arctic/ERMS/wav/arctic_a0200.wav,ERMS,Spanish,M,he leapt again and the club caught him once more.
he cried and swung the club wildly,data/l2arctic/ERMS/wav/arctic_a0201.wav,ERMS,Spanish,M,he cried and swooned the club widely.
she turned fearing that jacques might see what was in her face,data/l2arctic/ERMS/wav/arctic_a0202.wav,ERMS,Spanish,M,"she turned, fearing that jax might see what was in her face."
they were following the shore of a lake,data/l2arctic/ERMS/wav/arctic_a0203.wav,ERMS,Spanish,M,they were following the shore of a lake.
from now on were pals,data/l2arctic/ERMS/wav/arctic_a0205.wav,ERMS,Spanish,M,"from now on, we are pulse."
he says he bought him of jacques le beau,data/l2arctic/ERMS/wav/arctic_a0206.wav,ERMS,Spanish,M,he says he bought him of jack leblanc.
how much was it,data/l2arctic/ERMS/wav/arctic_a0207.wav,ERMS,Spanish,M,how much was it?
youth had come back to her freed from the yoke of oppression,data/l2arctic/ERMS/wav/arctic_a0208.wav,ERMS,Spanish,M,"jude had come back to her, freed from the yoke of oppression."
it was not a large lake and almost round,data/l2arctic/ERMS/wav/arctic_a0209.wav,ERMS,Spanish,M,it was not a large lake and almost round
its diameter was not more than two hundred yards,data/l2arctic/ERMS/wav/arctic_a0210.wav,ERMS,Spanish,M,its diameter was not more than 200 yards
it drowned all sound that brute agony and death may have made,data/l2arctic/ERMS/wav/arctic_a0211.wav,ERMS,Spanish,M,it drowned also that brute agony and death may have made.
fresh cases still able to walk they clustered about the spokesman,data/l2arctic/ERMS/wav/arctic_a0212.wav,ERMS,Spanish,M,"fresh cases, still able to walk, they clustered about the spokesman."
between him and the beach was the cane grass fence of the compound,data/l2arctic/ERMS/wav/arctic_a0213.wav,ERMS,Spanish,M,between him and the beach was decaying grass fence of the compound.
besides he was paid one case of tobacco per head,data/l2arctic/ERMS/wav/arctic_a0214.wav,ERMS,Spanish,M,"besides, he was paid one case of tobacco per head."
they die out of spite,data/l2arctic/ERMS/wav/arctic_a0215.wav,ERMS,Spanish,M,they die out of spite.
the other felt a sudden wave of irritation rush through him,data/l2arctic/ERMS/wav/arctic_a0216.wav,ERMS,Spanish,M,the other felt a sudden wave of irritation rush through him.
oppressive as the heat had been it was now even more oppressive,data/l2arctic/ERMS/wav/arctic_a0217.wav,ERMS,Spanish,M,"oppressive as the heat has been, it was now even more oppressive."
the ringing of the big bell aroused him,data/l2arctic/ERMS/wav/arctic_a0218.wav,ERMS,Spanish,M,the ringing of the big bell allows him.
at first he puzzled over something untoward he was sure had happened,data/l2arctic/ERMS/wav/arctic_a0219.wav,ERMS,Spanish,M,"at first, he puzzled over something on tour he was sure had happened."
a dead man is of no use on a plantation,data/l2arctic/ERMS/wav/arctic_a0220.wav,ERMS,Spanish,M,a dead man is of no use on a plantation.
what part of the united states is your home,data/l2arctic/ERMS/wav/arctic_a0222.wav,ERMS,Spanish,M,what part of the united states is your home.
my im almost homesick for it already,data/l2arctic/ERMS/wav/arctic_a0223.wav,ERMS,Spanish,M,i'm almost homesick for it already.
she nodded and her eyes grew soft and moist,data/l2arctic/ERMS/wav/arctic_a0224.wav,ERMS,Spanish,M,she nodded and her eyes grew soft and moist.
i was brought up the way most girls in hawaii are brought up,data/l2arctic/ERMS/wav/arctic_a0225.wav,ERMS,Spanish,M,i was brought up the way most girls in hawaii are brought up.
that came before my a b cs,data/l2arctic/ERMS/wav/arctic_a0226.wav,ERMS,Spanish,M,that came before my abcs
it was the same way with our revolvers and rifles,data/l2arctic/ERMS/wav/arctic_a0227.wav,ERMS,Spanish,M,it was the same way with our revolvers and rifles.
but it contributed to the smash,data/l2arctic/ERMS/wav/arctic_a0228.wav,ERMS,Spanish,M,but it contributes to the smash.
the last one i knew was an overseer,data/l2arctic/ERMS/wav/arctic_a0229.wav,ERMS,Spanish,M,the last one i knew was an overseer.
do you know any good land around here,data/l2arctic/ERMS/wav/arctic_a0230.wav,ERMS,Spanish,M,do you know any good land around here?
the resident commissioner is away in australia,data/l2arctic/ERMS/wav/arctic_a0231.wav,ERMS,Spanish,M,the resident commissioner is away in australia.
i cannot follow you she said,data/l2arctic/ERMS/wav/arctic_a0232.wav,ERMS,Spanish,M,"i cannot follow you, she said."
i never allow what cant be changed to annoy me,data/l2arctic/ERMS/wav/arctic_a0233.wav,ERMS,Spanish,M,i never allowed what can't be changed to annoy me.
why the average review is more nauseating than cod liver oil,data/l2arctic/ERMS/wav/arctic_a0234.wav,ERMS,Spanish,M,why the average review is more nauseating than cut liver oil.
his voice was passionately rebellious,data/l2arctic/ERMS/wav/arctic_a0235.wav,ERMS,Spanish,M,his voice was passionately rebellious.
dont you see i hate you,data/l2arctic/ERMS/wav/arctic_a0236.wav,ERMS,Spanish,M,don't you see i hate you?
so hughie and i did the managing ourselves,data/l2arctic/ERMS/wav/arctic_a0237.wav,ERMS,Spanish,M,so hagi and i did the managing ourselves.
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/ERMS/wav/arctic_a0239.wav,ERMS,Spanish,M,he cried in such genuine dismay that she broke into her tilapher.
wash your hands of me,data/l2arctic/ERMS/wav/arctic_a0240.wav,ERMS,Spanish,M,wash your hands off me.!
i think its much nicer to quarrel,data/l2arctic/ERMS/wav/arctic_a0241.wav,ERMS,Spanish,M,i think it's much nicer to quarrel.!
i saw it when she rolled,data/l2arctic/ERMS/wav/arctic_a0242.wav,ERMS,Spanish,M,i saw it when she rolled!
i only read the quotations,data/l2arctic/ERMS/wav/arctic_a0243.wav,ERMS,Spanish,M,i only read the quotations.!
he was the soul of devotion to his employers,data/l2arctic/ERMS/wav/arctic_a0244.wav,ERMS,Spanish,M,he was the soul of devotion to his employers.!
out of his eighteen hundred he laid aside sixteen hundred each year,data/l2arctic/ERMS/wav/arctic_a0245.wav,ERMS,Spanish,M,"out of his 1,800 he laid aside 1,600 each year.!"
you have heard always how he was the lover of the princess naomi,data/l2arctic/ERMS/wav/arctic_a0246.wav,ERMS,Spanish,M,you have heard always how he was the lover of the princess naomi.!
they ought to pass here some time today,data/l2arctic/ERMS/wav/arctic_a0247.wav,ERMS,Spanish,M,they have to pass here sometime today.!
i had been sad too long already,data/l2arctic/ERMS/wav/arctic_a0248.wav,ERMS,Spanish,M,i had been sad too long already.!
all eyes however were staring at him in certitude of expectancy,data/l2arctic/ERMS/wav/arctic_a0249.wav,ERMS,Spanish,M,"all i, however, were staring at him in certitude of expectancy.!"
he had observed the business life of hawaii and developed a vaulting ambition,data/l2arctic/ERMS/wav/arctic_a0250.wav,ERMS,Spanish,M,he had observed the business life of hawaii and developed a bolting ambition.!
i may manage to freight a cargo back as well,data/l2arctic/ERMS/wav/arctic_a0251.wav,ERMS,Spanish,M,i may manage to freight a cargo back as well.!
obrien had been a clean living young man with ideals,data/l2arctic/ERMS/wav/arctic_a0252.wav,ERMS,Spanish,M,o'brien had been a clean living young man with ideals.!
he it was that lived to found the family of the patino,data/l2arctic/ERMS/wav/arctic_a0253.wav,ERMS,Spanish,M,he it was that lived to found the family of the patina.!
straight out they swam their heads growing smaller and smaller,data/l2arctic/ERMS/wav/arctic_a0254.wav,ERMS,Spanish,M,straight out they swam their heads growing smaller and smaller!
see the length of the body and that elongated neck,data/l2arctic/ERMS/wav/arctic_a0256.wav,ERMS,Spanish,M,see the length of the body and that elongated neck!
they are coming ashore whoever they are,data/l2arctic/ERMS/wav/arctic_a0257.wav,ERMS,Spanish,M,"they are coming ashore, whoever they are."
soaked in seawater they offset the heat rays,data/l2arctic/ERMS/wav/arctic_a0258.wav,ERMS,Spanish,M,soak and see water they offset the heat rise
think of investing in such an adventure,data/l2arctic/ERMS/wav/arctic_a0259.wav,ERMS,Spanish,M,think of investing in such an adventure.
nobody knew his history they of the junta least of all,data/l2arctic/ERMS/wav/arctic_a0260.wav,ERMS,Spanish,M,nobody knew his history. day of the junta leaves of all.
i have been doubly baptized,data/l2arctic/ERMS/wav/arctic_a0261.wav,ERMS,Spanish,M,i have been doubly baptized.
they wouldnt be sweeping a big vessel like the martha,data/l2arctic/ERMS/wav/arctic_a0262.wav,ERMS,Spanish,M,they wouldn't be sweeping a big vessel like the marta.
joan looked triumphantly at sheldon who bowed,data/l2arctic/ERMS/wav/arctic_a0263.wav,ERMS,Spanish,M,"john luke, triumphantly, at sheldon, who bowed."
and i hope youve got plenty of chain out captain young,data/l2arctic/ERMS/wav/arctic_a0264.wav,ERMS,Spanish,M,and i hope you got plenty of chain out captain young.
the discovery seemed to have been made on the spur of the moment,data/l2arctic/ERMS/wav/arctic_a0265.wav,ERMS,Spanish,M,the discoveries seemed to have been made on the spur of the moment.
they handled two men already both grub thieves,data/l2arctic/ERMS/wav/arctic_a0266.wav,ERMS,Spanish,M,"they handled two men already, both grabbed thieves."
eli harding asked as shunk started to follow,data/l2arctic/ERMS/wav/arctic_a0267.wav,ERMS,Spanish,M,ali harding asked and xiong started to follow
now go ahead and tell me in a straightforward way what has happened,data/l2arctic/ERMS/wav/arctic_a0268.wav,ERMS,Spanish,M,now go ahead and tell me in a straightforward way what has happened.
thats where they cut off the scottish chiefs and killed all hands,data/l2arctic/ERMS/wav/arctic_a0269.wav,ERMS,Spanish,M,that's what they cut off the scottish chief and killed all hands
and after the bath a shave would not be bad,data/l2arctic/ERMS/wav/arctic_a0270.wav,ERMS,Spanish,M,and after the bat a shave would not be bad
now please give a plain statement of what occurred,data/l2arctic/ERMS/wav/arctic_a0271.wav,ERMS,Spanish,M,now please give a plain statement of what occurred.
they are big trees and require plenty of room,data/l2arctic/ERMS/wav/arctic_a0273.wav,ERMS,Spanish,M,they are big trees and require plenty of room.
and raoul listened again to the tale of the house,data/l2arctic/ERMS/wav/arctic_a0274.wav,ERMS,Spanish,M,and raoul listened again to the tale of the house.
there are no kiddies and half grown youths among them,data/l2arctic/ERMS/wav/arctic_a0275.wav,ERMS,Spanish,M,there are no kiddies and half-grown jutes among them
oolong atoll was one hundred and forty miles in circumference,data/l2arctic/ERMS/wav/arctic_a0276.wav,ERMS,Spanish,M,ullong atoll was 140 miles in circumference.
mcoy found a stifling poisonous atmosphere in the pent cabin,data/l2arctic/ERMS/wav/arctic_a0277.wav,ERMS,Spanish,M,"mccoy found a stifling, poisonous atmosphere in the pent cabin."
