transcription,path_to_audio,speaker_id,native_language,gender,sew_small_transcriptions
the oligarchy will encourage such ambition and the consequent competition,data/l2arctic/MBMPS/wav/arctic_b0478.wav,MBMPS,Spanish,F,the olegurky were incouraged such ambitions on the consiquent competition
we who have endured so much surely can endure a little more,data/l2arctic/MBMPS/wav/arctic_b0495.wav,MBMPS,Spanish,F,we who have endured so much surey con endured a littl more
you should have seen them when they heard me spitting chinook,data/l2arctic/MBMPS/wav/arctic_b0512.wav,MBMPS,Spanish,F,you sould have seen them when day herd me speeting chinul
you can take a vacation on pay,data/l2arctic/MBMPS/wav/arctic_a0272.wav,MBMPS,Spanish,F,you can take ovocation on pay
he may anticipate the day of his death,data/l2arctic/MBMPS/wav/arctic_a0544.wav,MBMPS,Spanish,F,he may anticipate the day of his dad
they likewise are disinclined to being eaten,data/l2arctic/MBMPS/wav/arctic_b0223.wav,MBMPS,Spanish,F,they nigwis are desencline to  bing eiten
he plodded on for half an hour when the hallucination arose again,data/l2arctic/MBMPS/wav/arctic_b0513.wav,MBMPS,Spanish,F,he plodderd  on for haf anourwan the hallucination errosed again
tomorrow or next day it might he gone,data/l2arctic/MBMPS/wav/arctic_b0514.wav,MBMPS,Spanish,F,to morol ar next day eit might be gone
but already he had composed himself,data/l2arctic/MBMPS/wav/arctic_b0515.wav,MBMPS,Spanish,F,but alread he hot composet himself
zilla relaxed her sour mouth long enough to sigh her satisfaction,data/l2arctic/MBMPS/wav/arctic_b0516.wav,MBMPS,Spanish,F,vela relaxed her sower moud lon enoug to siye her sitisfation
eggshell is not good to eat,data/l2arctic/MBMPS/wav/arctic_b0517.wav,MBMPS,Spanish,F,ac shot is not good to eeat
but there was also talk of witchcraft in the village,data/l2arctic/MBMPS/wav/arctic_b0518.wav,MBMPS,Spanish,F,but there was also talk  off which craft in the village
yea i will tell thee,data/l2arctic/MBMPS/wav/arctic_b0519.wav,MBMPS,Spanish,F,yea i will tell thee
hans hurled himself upon the prostrate man striking madly with his fists,data/l2arctic/MBMPS/wav/arctic_b0520.wav,MBMPS,Spanish,F,hunss herlld himself upon the prosstrait man striking mavlly with his feet
and he thought of oona and of her words,data/l2arctic/MBMPS/wav/arctic_b0521.wav,MBMPS,Spanish,F,and she thought of ona n of her words
nor would it thaw out his hands and feet,data/l2arctic/MBMPS/wav/arctic_b0522.wav,MBMPS,Spanish,F,nor would ethowh out his hands on feet
the russian music player the count was her obedient slave,data/l2arctic/MBMPS/wav/arctic_b0523.wav,MBMPS,Spanish,F,the rushaon music layer the couount was her obediants lafe
so far as flags were concerned they were beyond all jurisdiction,data/l2arctic/MBMPS/wav/arctic_b0524.wav,MBMPS,Spanish,F,so fare as floks weronscernd they were beyoun ollduresdiction
new idea he volunteered brand new idea,data/l2arctic/MBMPS/wav/arctic_b0525.wav,MBMPS,Spanish,F,neou idea she vollend teear brinnew idea
thirty pounds said the captain with finality,data/l2arctic/MBMPS/wav/arctic_b0526.wav,MBMPS,Spanish,F,thirty pouwns seid the copedin wuld finoliti
the very idea of it was preposterous,data/l2arctic/MBMPS/wav/arctic_b0527.wav,MBMPS,Spanish,F,the very ideofad wusprepousturees
captain doanes orders were swiftly obeyed,data/l2arctic/MBMPS/wav/arctic_b0528.wav,MBMPS,Spanish,F,copetenbns orthers were swiffty obad
come on del mar challenged,data/l2arctic/MBMPS/wav/arctic_b0529.wav,MBMPS,Spanish,F,come on thell mark chomnge
he had a big chimpanzee that was a winner,data/l2arctic/MBMPS/wav/arctic_b0530.wav,MBMPS,Spanish,F,he caut a beef chapns that it was a winer
i am sure it must have been some adventure,data/l2arctic/MBMPS/wav/arctic_b0531.wav,MBMPS,Spanish,F,i am sure it must have beeeen somme adventure
that longfellow chap most likely had written countless books of poetry,data/l2arctic/MBMPS/wav/arctic_b0532.wav,MBMPS,Spanish,F,the long fellow chip most litly had reetean countles boogs of boytrin
his abnormal power of vision made abstractions take on concrete form,data/l2arctic/MBMPS/wav/arctic_b0533.wav,MBMPS,Spanish,F,his obnormall power of besion maad obstructions take a comcrat for
ill tell you the librarian said with a brightening face,data/l2arctic/MBMPS/wav/arctic_b0534.wav,MBMPS,Spanish,F,illl tell you the labrediants sai with abrighning fase
he read his fragments aloud,data/l2arctic/MBMPS/wav/arctic_b0535.wav,MBMPS,Spanish,F,heeread hes frigments alowd
typhoid did i tell you,data/l2arctic/MBMPS/wav/arctic_b0536.wav,MBMPS,Spanish,F,theyfhoyd did i tell yu
but she had become an automaton,data/l2arctic/MBMPS/wav/arctic_b0537.wav,MBMPS,Spanish,F,but she had begomee an outor madan
at the best they were necessary accessories,data/l2arctic/MBMPS/wav/arctic_b0538.wav,MBMPS,Spanish,F,of thebast they were necesary axsicories
you were making them talk shop ruth charged him,data/l2arctic/MBMPS/wav/arctic_b0539.wav,MBMPS,Spanish,F,you were making them to shop rothcharged him
author of the danger trail philip steels etc,data/l2arctic/NJS/wav/arctic_a0001.wav,NJS,Spanish,F,othor of the danger tral felip stils etzetr
not at this particular case tom apologized whittemore,data/l2arctic/NJS/wav/arctic_a0002.wav,NJS,Spanish,F,not of ths partiular casetom apologised wit more
for the twentieth time that evening the two men shook hands,data/l2arctic/NJS/wav/arctic_a0003.wav,NJS,Spanish,F,for the twentih time that evening the two man shooke hands
lord but im glad to see you again phil,data/l2arctic/NJS/wav/arctic_a0004.wav,NJS,Spanish,F,lorid but imm glad to see you again fil
will we ever forget it,data/l2arctic/NJS/wav/arctic_a0005.wav,NJS,Spanish,F,will we ever forget it
god bless em i hope ill go on seeing them forever,data/l2arctic/NJS/wav/arctic_a0006.wav,NJS,Spanish,F,god blestem i hopel gon on sein themn forever
and you always want to see it in the superlative degree,data/l2arctic/NJS/wav/arctic_a0007.wav,NJS,Spanish,F,and you always wan to seid in the sopilative degrey
gad your letter came just in time,data/l2arctic/NJS/wav/arctic_a0008.wav,NJS,Spanish,F,gut you letter anest in time
he turned sharply and faced gregson across the table,data/l2arctic/NJS/wav/arctic_a0009.wav,NJS,Spanish,F,he turned sharply in faced greagson across the table
im playing a single hand in what looks like a losing game,data/l2arctic/NJS/wav/arctic_a0010.wav,NJS,Spanish,F,omplain a single hand in wad ooks like loocing gain
if i ever needed a fighter in my life i need one now,data/l2arctic/NJS/wav/arctic_a0011.wav,NJS,Spanish,F,if i ever need et a finter in my live i need won now
gregson shoved back his chair and rose to his feet,data/l2arctic/NJS/wav/arctic_a0012.wav,NJS,Spanish,F,greson shofed back his chailer and rosed to his feet
he was a head shorter than his companion of almost delicate physique,data/l2arctic/NJS/wav/arctic_a0013.wav,NJS,Spanish,F,he was a head sourter than his companionof almost delicate fesic
now youre coming down to business phil he exclaimed,data/l2arctic/NJS/wav/arctic_a0014.wav,NJS,Spanish,F,now you are coming down to bisnes feel he exclaimmed
its the aurora borealis,data/l2arctic/NJS/wav/arctic_a0015.wav,NJS,Spanish,F,as the ol rolre up erolllies
theres fort churchill a rifle shot beyond the ridge asleep,data/l2arctic/NJS/wav/arctic_a0016.wav,NJS,Spanish,F,ther is foric churchel a rifl should beon the rich aslep
there was a change now,data/l2arctic/NJS/wav/arctic_a0018.wav,NJS,Spanish,F,there was a change now
i followed the line of the proposed railroad looking for chances,data/l2arctic/NJS/wav/arctic_a0019.wav,NJS,Spanish,F,i followed the lin of the proposor radrol looking for chances
clubs and balls and cities grew to be only memories,data/l2arctic/NJS/wav/arctic_a0020.wav,NJS,Spanish,F,clops and bolls and seeties gread to be only memeriyes
it fairly clubbed me into recognizing it,data/l2arctic/NJS/wav/arctic_a0021.wav,NJS,Spanish,F,it furely cloped me into reconize ing i
hardly were our plans made public before we were met by powerful opposition,data/l2arctic/NJS/wav/arctic_a0022.wav,NJS,Spanish,F,hardly where our plans made public before we were med bid powerful oposition
a combination of canadian capital quickly organized and petitioned for the same privileges,data/l2arctic/NJS/wav/arctic_a0023.wav,NJS,Spanish,F,aconbunation of conadeand copital quickly organized inptitiand for thesam privilages
it was my reports from the north which chiefly induced people to buy,data/l2arctic/NJS/wav/arctic_a0024.wav,NJS,Spanish,F,it was my reporte from the north  which chiefly indused people to by
i was about to do this when cooler judgment prevailed,data/l2arctic/NJS/wav/arctic_a0025.wav,NJS,Spanish,F,i was about to do this when coolr juge ment prevailled
it occurred to me that there would have to be an accounting,data/l2arctic/NJS/wav/arctic_a0026.wav,NJS,Spanish,F,it ocur to me that there would av to be un acounting
to my surprise he began to show actual enthusiasm in my favor,data/l2arctic/NJS/wav/arctic_a0027.wav,NJS,Spanish,F,temarsuf prise he begon to show attral enthusieasm in my favor
robbery bribery fraud,data/l2arctic/NJS/wav/arctic_a0028.wav,NJS,Spanish,F,brogery bravery frid
their forces were already moving into the north country,data/l2arctic/NJS/wav/arctic_a0029.wav,NJS,Spanish,F,ther foreses wea arready moving into the north country
i had faith in them,data/l2arctic/NJS/wav/arctic_a0030.wav,NJS,Spanish,F,tafaite in them
they were three hundred yards apart,data/l2arctic/NJS/wav/arctic_a0031.wav,NJS,Spanish,F,they wer three hundre youars apart
since then some mysterious force has been fighting us at every step,data/l2arctic/NJS/wav/arctic_a0032.wav,NJS,Spanish,F,sens theansom msterious forest has been finting us at every step
he unfolded a long typewritten letter and handed it to gregson,data/l2arctic/NJS/wav/arctic_a0033.wav,NJS,Spanish,F,he ean foled it alone typrating letter and handed it to gragsin
he stopped and philip nodded at the horrified question in his eyes,data/l2arctic/NJS/wav/arctic_a0035.wav,NJS,Spanish,F,he stopedan feiip noted at a horrifid question in his es
she turned in at the hotel,data/l2arctic/NJS/wav/arctic_a0036.wav,NJS,Spanish,F,she turne in at the hotel
i was the only one who remained sitting,data/l2arctic/NJS/wav/arctic_a0037.wav,NJS,Spanish,F,i was the only one who remained seting
well have to watch our chances,data/l2arctic/NJS/wav/arctic_a0038.wav,NJS,Spanish,F,wiel hafto wach our chances
the ship should be in within a week or ten days,data/l2arctic/NJS/wav/arctic_a0039.wav,NJS,Spanish,F,the ship should be inwiding a week or tendays
i suppose you wonder why she is coming up here,data/l2arctic/NJS/wav/arctic_a0040.wav,NJS,Spanish,F,i suppose you wander why shes coming up heer
meanwhile ill go out to breathe a spell,data/l2arctic/NJS/wav/arctic_a0041.wav,NJS,Spanish,F,meanwhiye ill go out to bras a spell
how could he explain his possession of the sketch,data/l2arctic/NJS/wav/arctic_a0042.wav,NJS,Spanish,F,how could he explain his posestion of thiscach
it seemed nearer to him since he had seen and talked with gregson,data/l2arctic/NJS/wav/arctic_a0043.wav,NJS,Spanish,F,itstim nearer to him sins he had seen and tolked with gregssin
her own betrayal of herself was like tonic to philip,data/l2arctic/NJS/wav/arctic_a0044.wav,NJS,Spanish,F,her on betral of her self was like tonic tofillip
he moved away as quietly as he had come,data/l2arctic/NJS/wav/arctic_a0045.wav,NJS,Spanish,F,he moved away as quitly as he had come
the girl faced him her eyes shining with sudden fear,data/l2arctic/NJS/wav/arctic_a0046.wav,NJS,Spanish,F,the girl faced hi her es shining with suddan feeator
close beside him gleamed the white fangs of the wolf dog,data/l2arctic/NJS/wav/arctic_a0047.wav,NJS,Spanish,F,close beside him gleande wite fangs of the walf dog
he looked at the handkerchief more closely,data/l2arctic/NJS/wav/arctic_a0048.wav,NJS,Spanish,F,he looked at the hancrachive more closly
gregson was asleep when he reentered the cabin,data/l2arctic/NJS/wav/arctic_a0049.wav,NJS,Spanish,F,grecson wesslep when he reentered the caben
in spite of their absurdity the words affected philip curiously,data/l2arctic/NJS/wav/arctic_a0050.wav,NJS,Spanish,F,in inspite of thea osourdity the words offected feelp curiously
it was a curious coincidence,data/l2arctic/NJS/wav/arctic_a0052.wav,NJS,Spanish,F,it was a curios colinsedennns
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/NJS/wav/arctic_a0053.wav,NJS,Spanish,F,suddenly his fingers closed titly over the hankrachive
there was nothing on the rock,data/l2arctic/NJS/wav/arctic_a0054.wav,NJS,Spanish,F,tere was nothing underok
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/NJS/wav/arctic_a0055.wav,NJS,Spanish,F,filip is stut undecideid his ears astraind to catch this lghtlif the soun
pearces little eyes were fixed on him shrewdly,data/l2arctic/NJS/wav/arctic_a0056.wav,NJS,Spanish,F,parsious lietal eyes were fixed on him shredly
i have no idea replied philip,data/l2arctic/NJS/wav/arctic_a0057.wav,NJS,Spanish,F,i have no idea replaied filic
i came for information more out of curiosity than anything else,data/l2arctic/NJS/wav/arctic_a0058.wav,NJS,Spanish,F,i camfor information more out of crreosity than anything elsse
his immaculate appearance was gone,data/l2arctic/NJS/wav/arctic_a0059.wav,NJS,Spanish,F,his inmaculate apeariancse was gone
anyway no one saw her like that,data/l2arctic/NJS/wav/arctic_a0060.wav,NJS,Spanish,F,anywhay  noone saw her like that
philip snatched at the letter which gregson held out to him,data/l2arctic/NJS/wav/arctic_a0061.wav,NJS,Spanish,F,filip is nached it by the letter which gragson helld outto him
the men stared into each others face,data/l2arctic/NJS/wav/arctic_a0062.wav,NJS,Spanish,F,the manistired into ach others face
yes it was a man who asked a stranger,data/l2arctic/NJS/wav/arctic_a0063.wav,NJS,Spanish,F,yes it wase a man who asked a stranger
the fourth and fifth days passed without any developments,data/l2arctic/NJS/wav/arctic_a0064.wav,NJS,Spanish,F,the forthand fifthdays past without any developments
they closed now until his fingers were like cords of steel,data/l2arctic/NJS/wav/arctic_a0065.wav,NJS,Spanish,F,the closetr now untill his fingeres were like chores of steel
he saw jeanne falter for a moment,data/l2arctic/NJS/wav/arctic_a0066.wav,NJS,Spanish,F,he sow jiney folter for a moment
surely i will excuse you she cried,data/l2arctic/NJS/wav/arctic_a0067.wav,NJS,Spanish,F,surly i will excuse you she crid
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/NJS/wav/arctic_a0017.wav,NJS,Spanish,F,from that momeant his frienship of billeas terns to hatred and joci
men of seldens stamp dont stop at women and children,data/l2arctic/NJS/wav/arctic_a0034.wav,NJS,Spanish,F,manal seligiens istamp  dontis top a a wiman an childreon
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/NJS/wav/arctic_a0051.wav,NJS,Spanish,F,the lasewas off delicate iverycaror fainglytinted with yeallow
in a flash philip followed its direction,data/l2arctic/NJS/wav/arctic_a0068.wav,NJS,Spanish,F,it was a flush falyr followed is diretion
a trickle of fresh blood ran over his face,data/l2arctic/NJS/wav/arctic_a0085.wav,NJS,Spanish,F,atricolof flesh blot rung over his face
he will follow us soon,data/l2arctic/NJS/wav/arctic_a0102.wav,NJS,Spanish,F,he would forlowies son
jeanne was turning the bow shoreward,data/l2arctic/NJS/wav/arctic_a0119.wav,NJS,Spanish,F,gene was tearning about shorworrid
about him everywhere were the evidences of luxury and of age,data/l2arctic/NJS/wav/arctic_a0136.wav,NJS,Spanish,F,abort him every wheare were the evidences of looshury enof age
macdougall tapped his forehead suspiciously with a stubby forefinger,data/l2arctic/NJS/wav/arctic_a0153.wav,NJS,Spanish,F,mgdoal tacch his for head sospitiously whe a stubye for finger
there was none of the joy of meeting in his face,data/l2arctic/NJS/wav/arctic_a0170.wav,NJS,Spanish,F,there was noon of thejoy of meating in his fae
ahead of them they saw a glimmer of sunshine,data/l2arctic/NJS/wav/arctic_a0187.wav,NJS,Spanish,F,a head of danday saw a glemer of sunshine
the wolf dog thrust his gaunt muzzle toward him,data/l2arctic/NJS/wav/arctic_a0204.wav,NJS,Spanish,F,the walf dot thrusst heis gon muszle tover him
i dont know why youre here at all,data/l2arctic/NJS/wav/arctic_a0221.wav,NJS,Spanish,F,i dont now whind your heat at all
it happened to him at the gallina society in oakland one afternoon,data/l2arctic/NJS/wav/arctic_a0238.wav,NJS,Spanish,F,it hapened to him a deghalena susity inoclon wone aternoon
you wont die of malnutrition be sure of that,data/l2arctic/NJS/wav/arctic_a0255.wav,NJS,Spanish,F,you want t diy of my nutrition be sure of that
it was his intention to return to eileen and her father,data/l2arctic/NJS/wav/arctic_a0069.wav,NJS,Spanish,F,it was his intension to return to ada ein in her father
he would first hunt up gregson and begin his work there,data/l2arctic/NJS/wav/arctic_a0070.wav,NJS,Spanish,F,he wuld first hunt up grecson and begin his work of teater
what was the object of your little sensation,data/l2arctic/NJS/wav/arctic_a0071.wav,NJS,Spanish,F,what woas the object of yurletal sinsation
but who was eileens double,data/l2arctic/NJS/wav/arctic_a0072.wav,NJS,Spanish,F,but ho was aliene sdubll
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/NJS/wav/arctic_a0073.wav,NJS,Spanish,F,the premotoros eyes were heavy with letal poffy baggs endere them
and now down there eileen was waiting for him,data/l2arctic/NJS/wav/arctic_a0074.wav,NJS,Spanish,F,an now jund thater a lene was wating for him
there has been a change she interrupted him,data/l2arctic/NJS/wav/arctic_a0075.wav,NJS,Spanish,F,ther husben a change she interruptat him
the gray eyes faltered the flush deepened,data/l2arctic/NJS/wav/arctic_a0076.wav,NJS,Spanish,F,the greay es foltered the flush depened
it is the fire partly she said,data/l2arctic/NJS/wav/arctic_a0077.wav,NJS,Spanish,F,it is the fier partly she said
then and at supper he tried to fathom her,data/l2arctic/NJS/wav/arctic_a0078.wav,NJS,Spanish,F,then an nat supper he tryged to ftnn her
it was a large canoe,data/l2arctic/NJS/wav/arctic_a0079.wav,NJS,Spanish,F,it was a larger conowy
what if jeanne failed him,data/l2arctic/NJS/wav/arctic_a0080.wav,NJS,Spanish,F,wy ive jen faild him
what if she did not come to the rock,data/l2arctic/NJS/wav/arctic_a0081.wav,NJS,Spanish,F,why i she ded not come to the rok
his face was streaming with blood,data/l2arctic/NJS/wav/arctic_a0082.wav,NJS,Spanish,F,hes face was a streaming with blod
a shadow was creeping over pierres eyes,data/l2arctic/NJS/wav/arctic_a0083.wav,NJS,Spanish,F,a shodow was creeping overpeaters eyes
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/NJS/wav/arctic_a0084.wav,NJS,Spanish,F,scarsly had he outore the name when pirrised closing es shut open
death had come with terrible suddenness,data/l2arctic/NJS/wav/arctic_a0086.wav,NJS,Spanish,F,deave had come with teriable sudeness
philip bent lower and stared into the face of the dead man,data/l2arctic/NJS/wav/arctic_a0087.wav,NJS,Spanish,F,feely bent lower and astare into the face of the dead man
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/NJS/wav/arctic_a0088.wav,NJS,Spanish,F,he may sure that hie the mavasine was loded and resumed his puvling
the night glow was treacherous to shoot by,data/l2arctic/NJS/wav/arctic_a0089.wav,NJS,Spanish,F,thenighdglow was redurous to shod by
the singing voice approached rapidly,data/l2arctic/NJS/wav/arctic_a0090.wav,NJS,Spanish,F,the singing voys aproached rapidly
his blood grew hot with rage at the thought,data/l2arctic/NJS/wav/arctic_a0091.wav,NJS,Spanish,F,hes bludd greo hat with rage other thout
he went down in midstream searching the shadows of both shores,data/l2arctic/NJS/wav/arctic_a0092.wav,NJS,Spanish,F,he wanted down in middstream surging the shadows of both shores
for a full minute he crouched and listened,data/l2arctic/NJS/wav/arctic_a0093.wav,NJS,Spanish,F,for a full mint he crashed andliconed
he had barely entered this when he saw the glow of a fire,data/l2arctic/NJS/wav/arctic_a0094.wav,NJS,Spanish,F,he had burly entor thes when he saw the glow of a fired
a big canvas tent was the first thing to come within his vision,data/l2arctic/NJS/wav/arctic_a0095.wav,NJS,Spanish,F,a big canvestand was the first thing tocondweithin his vision
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/NJS/wav/arctic_a0096.wav,NJS,Spanish,F,per happs she had already met her fait a little deper in the forest
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/NJS/wav/arctic_a0097.wav,NJS,Spanish,F,then you can arange yoursellf comftably among thes brops in the bow
shall i carry you,data/l2arctic/NJS/wav/arctic_a0098.wav,NJS,Spanish,F,shall ye corry you
a maddening joy pounded in his brain,data/l2arctic/NJS/wav/arctic_a0099.wav,NJS,Spanish,F,madan enjoy poundet in his brain
you must sleep he urged,data/l2arctic/NJS/wav/arctic_a0100.wav,NJS,Spanish,F,you must sleap she uraged
you you would not keep the truth from me,data/l2arctic/NJS/wav/arctic_a0101.wav,NJS,Spanish,F,yu you would not keep the toth from me
but there came no promise from the bow of the canoe,data/l2arctic/NJS/wav/arctic_a0103.wav,NJS,Spanish,F,but there came no promas from the boud of thechanwy
she was sleeping under his protection as sweetly as a child,data/l2arctic/NJS/wav/arctic_a0104.wav,NJS,Spanish,F,she was eleping under hispretation as switly as a chid
only it is so wonderful so almost impossible to believe,data/l2arctic/NJS/wav/arctic_a0105.wav,NJS,Spanish,F,only it is so wanderful so almost impossible to beeeve
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/NJS/wav/arctic_a0106.wav,NJS,Spanish,F,the emmotion wh he had surpressed borstforth now in a chokingsall
if you only could know how i thank you,data/l2arctic/NJS/wav/arctic_a0107.wav,NJS,Spanish,F,if you only couldnow how i thaink you
he waded into the edge of the water and began scrubbing himself,data/l2arctic/NJS/wav/arctic_a0108.wav,NJS,Spanish,F,he wayyeet into the edge of the water and began scroibing himself
do you know that you are shaking my confidence in you,data/l2arctic/NJS/wav/arctic_a0109.wav,NJS,Spanish,F,do you know that you are shakin make confidence in you
much replied jeanne as tersely,data/l2arctic/NJS/wav/arctic_a0110.wav,NJS,Spanish,F,much replide giny astirsly
instead he joined her and they ate like two hungry children,data/l2arctic/NJS/wav/arctic_a0111.wav,NJS,Spanish,F,instad he joined her and  a like two hungry children
he was wounded in the arm,data/l2arctic/NJS/wav/arctic_a0112.wav,NJS,Spanish,F,he was wonded in the arm
i suppose you picked that lingo up among the indians,data/l2arctic/NJS/wav/arctic_a0113.wav,NJS,Spanish,F,i supose youve pick thate lingo up among the indiens
her words sent a strange chill through philip,data/l2arctic/NJS/wav/arctic_a0114.wav,NJS,Spanish,F,her worsesand a strainge cheel through feli
he had no excuse for the feelings which were aroused in him,data/l2arctic/NJS/wav/arctic_a0115.wav,NJS,Spanish,F,he had no excuse for thefemas which were arouse in him
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/NJS/wav/arctic_a0116.wav,NJS,Spanish,F,was he the rantrvol of those who were striving to wark his rowin
she added with genuine sympathy in her face and voice,data/l2arctic/NJS/wav/arctic_a0117.wav,NJS,Spanish,F,she added with genoin simpathy in her fase and voie
pierre obeys me when we are together,data/l2arctic/NJS/wav/arctic_a0118.wav,NJS,Spanish,F,petr obademe when we ate together
my right foot feels like that of a chinese debutante,data/l2arctic/NJS/wav/arctic_a0120.wav,NJS,Spanish,F,my righte oot fist like that of a chinys debotant
they ate dinner at the fifth and rested for two hours,data/l2arctic/NJS/wav/arctic_a0121.wav,NJS,Spanish,F,the aiht dener adafis enrested for two howers
two years ago i gave up civilization for this,data/l2arctic/NJS/wav/arctic_a0122.wav,NJS,Spanish,F,o yearsigo i gave ous scivelization for this
she had died from cold and starvation,data/l2arctic/NJS/wav/arctic_a0123.wav,NJS,Spanish,F,she had died from cold and distervation
it was jeanne singing softly over beyond the rocks,data/l2arctic/NJS/wav/arctic_a0124.wav,NJS,Spanish,F,it was gany singing stofly over beyond the roxs
he was determined now to maintain a more certain hold upon himself,data/l2arctic/NJS/wav/arctic_a0125.wav,NJS,Spanish,F,he was determing now to montain a more sertan hote opon himself
each day she became a more vital part of him,data/l2arctic/NJS/wav/arctic_a0126.wav,NJS,Spanish,F,ec day she became a more vital part of him
it was a temptation but he resisted it,data/l2arctic/NJS/wav/arctic_a0127.wav,NJS,Spanish,F,it was a temtation but he resistid it
this one hope was destroyed as quickly as it was born,data/l2arctic/NJS/wav/arctic_a0128.wav,NJS,Spanish,F,these one hope was destroy as quicly as it was borin
her face was against his breast,data/l2arctic/NJS/wav/arctic_a0129.wav,NJS,Spanish,F,her face was against his brest
she was his now forever,data/l2arctic/NJS/wav/arctic_a0130.wav,NJS,Spanish,F,she was hease now forever
providence had delivered him through the maelstrom,data/l2arctic/NJS/wav/arctic_a0131.wav,NJS,Spanish,F,providance had delevord him through the mals trom
a cry of joy burst from philips lips,data/l2arctic/NJS/wav/arctic_a0132.wav,NJS,Spanish,F,acrayof joy birnes rom fillips lips
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/NJS/wav/arctic_a0133.wav,NJS,Spanish,F,filla begaon to feeel that he had foolishly overestimated his strength
he obeyed the pressure of her hand,data/l2arctic/NJS/wav/arctic_a0134.wav,NJS,Spanish,F,hoe obaye the preassure of heur hand
im going to surprise father and you will go with pierre,data/l2arctic/NJS/wav/arctic_a0135.wav,NJS,Spanish,F,im going to siprice father and you willl gow with peater
then he stepped back with a low cry of pleasure,data/l2arctic/NJS/wav/arctic_a0137.wav,NJS,Spanish,F,then he stepd back with a lowee cry of plasure
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/NJS/wav/arctic_a0138.wav,NJS,Spanish,F,in the pictur he saw each moment a greatar resemblance to geney
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/NJS/wav/arctic_a0139.wav,NJS,Spanish,F,he told himselff that as he watch himself in grup histeshivealdd cloths
accept a fathers blessing and with it this,data/l2arctic/NJS/wav/arctic_a0140.wav,NJS,Spanish,F,excet  fathers blassing in wihd vhis
it seems like a strange pointing of the hand of god,data/l2arctic/NJS/wav/arctic_a0141.wav,NJS,Spanish,F,it seems like a strange pointing ofe the hand of gid
such things had occurred before he told philip,data/l2arctic/NJS/wav/arctic_a0142.wav,NJS,Spanish,F,such things had a corsd before he told fillip
ah i had forgotten he exclaimed,data/l2arctic/NJS/wav/arctic_a0143.wav,NJS,Spanish,F,o i have forgouten he eecllame
but there was something even more startling than this resemblance,data/l2arctic/NJS/wav/arctic_a0144.wav,NJS,Spanish,F,but ther was somthing even more strcling that these resemblence
i have to be careful of them as they tear very easily,data/l2arctic/NJS/wav/arctic_a0145.wav,NJS,Spanish,F,i have to e curfull ov dem s day tarevere easly
of course that is uninteresting she continued,data/l2arctic/NJS/wav/arctic_a0146.wav,NJS,Spanish,F,of course that is uninteresting she continued
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/NJS/wav/arctic_a0147.wav,NJS,Spanish,F,a moment before he was indoxiated but a joy that was almost madness
now these things had been struck dead within him,data/l2arctic/NJS/wav/arctic_a0148.wav,NJS,Spanish,F,nowen thes things had been struck dead withim him
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/NJS/wav/arctic_a0149.wav,NJS,Spanish,F,ffor an instent he saw pearet drngd like a ceoit against the sky
goodbye pierre he shouted,data/l2arctic/NJS/wav/arctic_a0150.wav,NJS,Spanish,F,good by pear he shouteeed
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/NJS/wav/arctic_a0151.wav,NJS,Spanish,F,in makdoel was beyond the trail with three weks to spader
philip thrust himself against it and entered,data/l2arctic/NJS/wav/arctic_a0152.wav,NJS,Spanish,F,filip trused himself against it and entered
he was smooth shaven and his hair and eyes were black,data/l2arctic/NJS/wav/arctic_a0154.wav,NJS,Spanish,F,he was the smolth shavin an hes courrataniese were black
wont you draw up gentlemen,data/l2arctic/NJS/wav/arctic_a0155.wav,NJS,Spanish,F,wan you dra gentlman
a strange fire burned in his eyes when thorpe turned,data/l2arctic/NJS/wav/arctic_a0156.wav,NJS,Spanish,F,strange fieborn in his eyes when thrp turned
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/NJS/wav/arctic_a0157.wav,NJS,Spanish,F,he had d worshipto heur as dunty might have worship beatreese
does that look good,data/l2arctic/NJS/wav/arctic_a0158.wav,NJS,Spanish,F,ese you god
they look as though he had been drumming a piano all his life,data/l2arctic/NJS/wav/arctic_a0159.wav,NJS,Spanish,F,they look as thouh he had been drumping apano all his lie
you want to go over and see his gang throw dirt,data/l2arctic/NJS/wav/arctic_a0160.wav,NJS,Spanish,F,you want to go over and se his gaing throu throat
