transcription,path_to_audio,speaker_id,native_language,gender,whisper_small_transcriptions
illuminating oil was becoming all profit,data/l2arctic/NJS/wav/arctic_a0518.wav,NJS,Spanish,F,illuminating oil was becoming all profit.
such an act was in direct violation of the laws of the land,data/l2arctic/NJS/wav/arctic_a0519.wav,NJS,Spanish,F,such an act was indirect violation of the laws of the land.
he was fond of quoting a fragment from a certain poem,data/l2arctic/NJS/wav/arctic_a0520.wav,NJS,Spanish,F,he was fond of quoting a fragment from a certain poem.
without them he could not run his empire,data/l2arctic/NJS/wav/arctic_a0521.wav,NJS,Spanish,F,"without them, he could not run his empire."
for such countries nothing remained but reorganization,data/l2arctic/NJS/wav/arctic_a0522.wav,NJS,Spanish,F,"for such countries, nothing remained but reorganization."
they could not continue their method of producing surpluses,data/l2arctic/NJS/wav/arctic_a0523.wav,NJS,Spanish,F,they could not continue their method of producing surpluses.
at once would be instituted a dozen cooperative commonwealth states,data/l2arctic/NJS/wav/arctic_a0524.wav,NJS,Spanish,F,at once would be instituted at dozen cooperative common wealth states.
the oligarchy wanted violence and it set its agents provocateurs to work,data/l2arctic/NJS/wav/arctic_a0525.wav,NJS,Spanish,F,the oli karaki wanted violence and it set its agents' provocateurs to work.
nowhere did the raw earth appear,data/l2arctic/NJS/wav/arctic_a0526.wav,NJS,Spanish,F,no where did the raw earth appear.
men who endure it call it living death,data/l2arctic/NJS/wav/arctic_a0528.wav,NJS,Spanish,F,men who endure it call it living death.
as i say he had tapped the message very rapidly,data/l2arctic/NJS/wav/arctic_a0529.wav,NJS,Spanish,F,"as i said, he had tapped the message very rapidly."
ask him i laughed then turned to pasquini,data/l2arctic/NJS/wav/arctic_a0530.wav,NJS,Spanish,F,asking i left then turned to pasquini.
in what bucolic school of fence he had been taught was beyond imagining,data/l2arctic/NJS/wav/arctic_a0531.wav,NJS,Spanish,F,in what book-holic school of fans he had been taught was beyond imagining.
may drought destroy your crops,data/l2arctic/NJS/wav/arctic_a0532.wav,NJS,Spanish,F,may draw and destroy your crops.
dunham can your boy go along with jesse,data/l2arctic/NJS/wav/arctic_a0533.wav,NJS,Spanish,F,don't him. can your boy go alone with jesse?
but johannes could and did,data/l2arctic/NJS/wav/arctic_a0534.wav,NJS,Spanish,F,but your hands good indeed.
a new preacher and a new doctrine come to jerusalem,data/l2arctic/NJS/wav/arctic_a0535.wav,NJS,Spanish,F,a new preacher and a new doctrine come to jerusalem.
he would destroy all things that are fixed,data/l2arctic/NJS/wav/arctic_a0536.wav,NJS,Spanish,F,he would destroy all things that are fixed.
he was an enthusiast and a desert dweller,data/l2arctic/NJS/wav/arctic_a0537.wav,NJS,Spanish,F,he was an ensuciast in a desert dweller.
what pascal glimpsed with the vision of a seer i have lived,data/l2arctic/NJS/wav/arctic_a0538.wav,NJS,Spanish,F,where pascal gleams with his vision of seer i have lived.
i should like to engage just for one whole life in that,data/l2arctic/NJS/wav/arctic_a0539.wav,NJS,Spanish,F,i should like to engage just for one whole life in that.
yea so are all the lesser animals of today clean,data/l2arctic/NJS/wav/arctic_a0540.wav,NJS,Spanish,F,"yeah, so are all the lesser animals of today clean."
the warden with a quart of champagne,data/l2arctic/NJS/wav/arctic_a0541.wav,NJS,Spanish,F,the warden with a quart of champagne.
without a doubt some of them have dinner engagements,data/l2arctic/NJS/wav/arctic_a0542.wav,NJS,Spanish,F,"without a doubt, some of them have dinner engagements."
i had been born with no organic chemical predisposition toward alcohol,data/l2arctic/NJS/wav/arctic_a0543.wav,NJS,Spanish,F,i had been born with no organic chemical predisposition to our alcohol.
the italian rancho was a bachelor establishment,data/l2arctic/NJS/wav/arctic_a0545.wav,NJS,Spanish,F,the italian rancho was a bachelor's establishment.
i lost my balance and pitched head foremost into the ooze,data/l2arctic/NJS/wav/arctic_a0546.wav,NJS,Spanish,F,i lost my balance and pitched head foremost into the ooze.
men like joe goose dated existence from drunk to drunk,data/l2arctic/NJS/wav/arctic_a0547.wav,NJS,Spanish,F,minglei zhou goes dated existence from drunk to drunk.
also churches and preachers i had never known,data/l2arctic/NJS/wav/arctic_a0548.wav,NJS,Spanish,F,"also, charges and preaches i had never known."
do you know that we weigh every pound of coal we burn,data/l2arctic/NJS/wav/arctic_a0549.wav,NJS,Spanish,F,do you know that we wait every pound of gold we burn?
this also became part of the daily schedule,data/l2arctic/NJS/wav/arctic_a0550.wav,NJS,Spanish,F,this also became part of the daily schedule.
all an appearance can know is mirage,data/l2arctic/NJS/wav/arctic_a0551.wav,NJS,Spanish,F,all an appearance can know is mirage.
yet he dreams he is immortal i argue feebly,data/l2arctic/NJS/wav/arctic_a0552.wav,NJS,Spanish,F,yet he dreams he's immortal. i argue feebly.
im writing these lines in honolulu hawaii,data/l2arctic/NJS/wav/arctic_a0553.wav,NJS,Spanish,F,"i'm writing these lines in honolulu, hawaii."
jack london waikiki beach honolulu oahu,data/l2arctic/NJS/wav/arctic_a0554.wav,NJS,Spanish,F,"jack london, waikiki beach, honolulu, oahu."
jerry was so secure in his nook that he did not roll away,data/l2arctic/NJS/wav/arctic_a0555.wav,NJS,Spanish,F,jerry was so secure in his nook that he did not roll away.
why hes bought forty pounds of goods from you already,data/l2arctic/NJS/wav/arctic_a0556.wav,NJS,Spanish,F,why? he's bought 40 pounds of goods from you already.
the last refugee had passed,data/l2arctic/NJS/wav/arctic_a0557.wav,NJS,Spanish,F,the last refugee had passed.
and the foundation stone of service in his case was obedience,data/l2arctic/NJS/wav/arctic_a0558.wav,NJS,Spanish,F,and the foundation stone of service in his case was obedience.
peace be unto you and grace before the lord,data/l2arctic/NJS/wav/arctic_a0559.wav,NJS,Spanish,F,peace be unto you and grace before the lord.
his mouth opened words shaped vainly on his lips,data/l2arctic/NJS/wav/arctic_a0560.wav,NJS,Spanish,F,"his mouth opened, words shaped vaguely on his lips."
they are not regular oyster pirates nicholas continued,data/l2arctic/NJS/wav/arctic_a0289.wav,NJS,Spanish,F,they are now regular oyster pirates. nicolas continued.
he was pressing beyond the limits of his vocabulary,data/l2arctic/NJS/wav/arctic_a0306.wav,NJS,Spanish,F,he was pressing beyond the limits of his vocabulary.
he considered the victory already his and stepped forward to the meat,data/l2arctic/NJS/wav/arctic_a0323.wav,NJS,Spanish,F,he considered the victory already his and stepped forward to the meet.
it was like the beating of hoofs,data/l2arctic/NJS/wav/arctic_a0340.wav,NJS,Spanish,F,it was like the beating of hooves.
a month passed by and bonanza creek remained quiet,data/l2arctic/NJS/wav/arctic_a0357.wav,NJS,Spanish,F,a month passed by and bonanza creek remained quiet.
but lifes worth more than cash she argued,data/l2arctic/NJS/wav/arctic_a0374.wav,NJS,Spanish,F,"but life's worth more than cash,"" she argued."
but he reconciled himself to it by an act of faith,data/l2arctic/NJS/wav/arctic_a0391.wav,NJS,Spanish,F,but he reconciled himself to it by an act of faith.
the eldorado emptied its occupants into the street to see the test,data/l2arctic/NJS/wav/arctic_a0408.wav,NJS,Spanish,F,d'el dorado emptied its occupants into the street to see the test.
otherwise no restriction is put upon their seafaring,data/l2arctic/NJS/wav/arctic_a0425.wav,NJS,Spanish,F,"otherwise, no restriction is put upon their siphoning."
you live on an income which your father earned,data/l2arctic/NJS/wav/arctic_a0442.wav,NJS,Spanish,F,you leave on an income which your father earned.
theres too much of the schoolboy in me,data/l2arctic/NJS/wav/arctic_a0459.wav,NJS,Spanish,F,there's too much of the schoolboy in me.
at this moment i felt a stir at my shoulder,data/l2arctic/NJS/wav/arctic_a0476.wav,NJS,Spanish,F,at this moment i felt a stir at my shoulder.
the boy obrien was specially maltreated,data/l2arctic/NJS/wav/arctic_a0493.wav,NJS,Spanish,F,"the boy, o'brien, was especially maltreated."
much more ernest told them of themselves and of his disillusionment,data/l2arctic/NJS/wav/arctic_a0510.wav,NJS,Spanish,F,much more earnest tone them of themselves and of his dissolutionment.
the lush vegetation of that sheltered spot make a natural shield,data/l2arctic/NJS/wav/arctic_a0527.wav,NJS,Spanish,F,the large vegetation of the sheltered spot make a natural shield.
what the flaming,data/l2arctic/NJS/wav/arctic_a0562.wav,NJS,Spanish,F,what the flaming?
missus mcfees jaws brought together with a snap,data/l2arctic/NJS/wav/arctic_a0563.wav,NJS,Spanish,F,mrs. mcfist-jose brought together wet snap.
then it is as i said womble announced with finality,data/l2arctic/NJS/wav/arctic_a0564.wav,NJS,Spanish,F,"then it is as i said, wumble announced with finality."
with them were indians also three other men,data/l2arctic/NJS/wav/arctic_a0565.wav,NJS,Spanish,F,"with them were indians, also three other men."
dennins hands were released long enough for him to sign the document,data/l2arctic/NJS/wav/arctic_a0566.wav,NJS,Spanish,F,denny's hands were released long enough for him to sign the document.
now irvine was a man of impulse a poet,data/l2arctic/NJS/wav/arctic_a0567.wav,NJS,Spanish,F,"now irvine was a man of impulse, a poet."
he was just bursting with joy joy over what,data/l2arctic/NJS/wav/arctic_a0568.wav,NJS,Spanish,F,he was just bursting with joy. joy over what?
at lake linderman i had one canoe very good peterborough canoe,data/l2arctic/NJS/wav/arctic_a0569.wav,NJS,Spanish,F,"at lake linderman, i had once kanui, very good pier borough kanui."
behind him lay the thousand years long road across all siberia and russia,data/l2arctic/NJS/wav/arctic_a0570.wav,NJS,Spanish,F,behind him lay the thousand years long road across all siberia and russia.
he had forgotten to build a fire and thaw out,data/l2arctic/NJS/wav/arctic_a0571.wav,NJS,Spanish,F,he had forgotten to build a fire and throw out.
i never saw anything like her in my life,data/l2arctic/NJS/wav/arctic_a0572.wav,NJS,Spanish,F,i never saw anything like her in my life.
there was no law on the yukon save what they made for themselves,data/l2arctic/NJS/wav/arctic_a0573.wav,NJS,Spanish,F,"there was no law on the yukon, save what they made for themselves."
good business man curly obrien was saying,data/l2arctic/NJS/wav/arctic_a0574.wav,NJS,Spanish,F,"good businessmen, corley o'brien was saying."
there werent any missions and he was the man to know,data/l2arctic/NJS/wav/arctic_a0575.wav,NJS,Spanish,F,they're wearing animations and he was the man to know.
and the big persian knew of his existence before he did of hers,data/l2arctic/NJS/wav/arctic_a0576.wav,NJS,Spanish,F,and the big persian knew of his existence before he did of hers.
once the jews harp began emitting its barbaric rhythms michael was helpless,data/l2arctic/NJS/wav/arctic_a0577.wav,NJS,Spanish,F,"once the jews' heart began emitting its barbaric rhythms, michael was helpless."
there was the emma louisa,data/l2arctic/NJS/wav/arctic_a0579.wav,NJS,Spanish,F,there was the emma louisa.
this is my fifth voyage,data/l2arctic/NJS/wav/arctic_a0580.wav,NJS,Spanish,F,this is my fifth boyage.
it was this proposition that started the big idea in daughtrys mind,data/l2arctic/NJS/wav/arctic_a0581.wav,NJS,Spanish,F,it was this proposition that started the big idea in dothrae's mind.
daughtry elaborated on the counting trick by bringing cocky along,data/l2arctic/NJS/wav/arctic_a0582.wav,NJS,Spanish,F,dow tree elaborated on the counting trick by bringing koki along.
enjoy it he did but principally for stewards sake,data/l2arctic/NJS/wav/arctic_a0583.wav,NJS,Spanish,F,"enjoyed he did, but principally for stewart's sake."
i have long noted your thirst unquenchable,data/l2arctic/NJS/wav/arctic_a0584.wav,NJS,Spanish,F,i have long noted you are thrust unquenchable.
wonder if hes a lion dog charles suggested,data/l2arctic/NJS/wav/arctic_a0585.wav,NJS,Spanish,F,"wonder if he's a lion dog, charles suggested."
we dont see ourselves as foolish,data/l2arctic/NJS/wav/arctic_a0586.wav,NJS,Spanish,F,we don't see ourselves as foolish.
he had comparatively no advantages at first,data/l2arctic/NJS/wav/arctic_a0587.wav,NJS,Spanish,F,he had comparatively no advantages at first.
he had proved it today with his amateurish and sophomoric productions,data/l2arctic/NJS/wav/arctic_a0588.wav,NJS,Spanish,F,he had proved it today with his amateurish and sophomoric productions.
i was sick once typhoid,data/l2arctic/NJS/wav/arctic_a0589.wav,NJS,Spanish,F,i was sick once. time for it.!!
in a way hes my protege,data/l2arctic/NJS/wav/arctic_a0590.wav,NJS,Spanish,F,in a way he's my protege.!!
we are both children together,data/l2arctic/NJS/wav/arctic_a0591.wav,NJS,Spanish,F,we are both children together.!!
its only his indigestion i find fault with,data/l2arctic/NJS/wav/arctic_a0592.wav,NJS,Spanish,F,is only his indigestion i find fault with.!!
shed make a good wife for the cashier,data/l2arctic/NJS/wav/arctic_a0593.wav,NJS,Spanish,F,she'd make a good wife for the cashier.!!
gad do i remember it,data/l2arctic/NJS/wav/arctic_b0001.wav,NJS,Spanish,F,"god, do i remember it?!!"
i can see that knife now,data/l2arctic/NJS/wav/arctic_b0003.wav,NJS,Spanish,F,i can see that knife now.!!
when i cant see beauty in woman i want to die,data/l2arctic/NJS/wav/arctic_b0004.wav,NJS,Spanish,F,"when i can't see beauty in guman, i want to die.!!"
his slim fingers closed like steel about philips,data/l2arctic/NJS/wav/arctic_b0005.wav,NJS,Spanish,F,his lean fingers clothe like steel apart phillips.!!
he seized gregson by the arm and led him to the door,data/l2arctic/NJS/wav/arctic_b0006.wav,NJS,Spanish,F,he seized gregson by the arm and led him to the door.!!
hear the indian dogs wailing down at churchill,data/l2arctic/NJS/wav/arctic_b0007.wav,NJS,Spanish,F,here are the indian dogs wailing down at churchill.!!
burke himself had criticized it because of the smile,data/l2arctic/NJS/wav/arctic_b0008.wav,NJS,Spanish,F,burk himself had criticized it because of the smile.!!
id say there was going to be a glorious scrap,data/l2arctic/NJS/wav/arctic_b0009.wav,NJS,Spanish,F,i'd say that was going to be a glorious scrap.!!
he turned the map to gregson pointing with his finger,data/l2arctic/NJS/wav/arctic_b0010.wav,NJS,Spanish,F,"he turned the map to gregson, pointing with his finger.!!"
his eyes never took themselves for an instant from his companions face,data/l2arctic/NJS/wav/arctic_b0011.wav,NJS,Spanish,F,his eyes never took themselves for an instant from his companion's face.!!
something that whittemore had not yet said thrilled him,data/l2arctic/NJS/wav/arctic_b0012.wav,NJS,Spanish,F,something that whittemore had not yet said thrilled him.!!
whitefish gregson whitefish and trout,data/l2arctic/NJS/wav/arctic_b0014.wav,NJS,Spanish,F,"whitefish, gryxon, whitefish and trout!!"
they robbed me a few years later,data/l2arctic/NJS/wav/arctic_b0015.wav,NJS,Spanish,F,they wrote me a few years later.!!
he chuckled as he pulled out his pipe and began filling it,data/l2arctic/NJS/wav/arctic_b0016.wav,NJS,Spanish,F,he chuckled as he pulled out his pipe and began filling it.!!
everything was working smoothly better than i had expected,data/l2arctic/NJS/wav/arctic_b0017.wav,NJS,Spanish,F,everything was working smoothly better than i had expected.!!
i was completely lost in my work,data/l2arctic/NJS/wav/arctic_b0018.wav,NJS,Spanish,F,i was completely lost in my work.!!
his slim hands gripped the edges of the table,data/l2arctic/NJS/wav/arctic_b0019.wav,NJS,Spanish,F,his slim hands gripped the edges of the table.!!
philip dropped back into his chair,data/l2arctic/NJS/wav/arctic_b0021.wav,NJS,Spanish,F,philip dropped back into his chair.!!
if i was out of the game it would be easily made,data/l2arctic/NJS/wav/arctic_b0022.wav,NJS,Spanish,F,"if i was out of the game, it would be easily made.!!"
macdougall my engineer believes it,data/l2arctic/NJS/wav/arctic_b0023.wav,NJS,Spanish,F,"macdwell, my engineer, believes it.!!"
it is growing every day every hour,data/l2arctic/NJS/wav/arctic_b0024.wav,NJS,Spanish,F,"it is growing every day, every hour.!!"
now you understand,data/l2arctic/NJS/wav/arctic_b0025.wav,NJS,Spanish,F,now you understand.!!
you have associated with some of these men,data/l2arctic/NJS/wav/arctic_b0026.wav,NJS,Spanish,F,you have associated with some of these men.!!
and theres no chivalry no quarter shown in this fight,data/l2arctic/NJS/wav/arctic_b0027.wav,NJS,Spanish,F,"and there is no chivalry, no quarter-shown in this fight.!!"
lord fitzhugh is the key to the whole situation,data/l2arctic/NJS/wav/arctic_b0028.wav,NJS,Spanish,F,lord facebook is the key to the whole situation.!!
all operations have been carried on from montreal and toronto,data/l2arctic/NJS/wav/arctic_b0029.wav,NJS,Spanish,F,all operations have been carried on from montreal and toronto.!!
gregson held a lighted match until it burnt his fingertips,data/l2arctic/NJS/wav/arctic_b0030.wav,NJS,Spanish,F,gregson held a lighted match until he burnt his fingertips.!!
gregson had seated himself under the lamp and was sharpening a pencil,data/l2arctic/NJS/wav/arctic_b0031.wav,NJS,Spanish,F,gregson had seated himself under the lamp and was sharpening a pencil.!
he caught himself with a jerk,data/l2arctic/NJS/wav/arctic_b0032.wav,NJS,Spanish,F,he cut himself with a jerk.!
how does your wager look now,data/l2arctic/NJS/wav/arctic_b0033.wav,NJS,Spanish,F,how does your wager look now?!
he confessed that the sketch had startled him,data/l2arctic/NJS/wav/arctic_b0034.wav,NJS,Spanish,F,he confessed that the sketch had startled him.!
after all the picture was only a resemblance,data/l2arctic/NJS/wav/arctic_b0035.wav,NJS,Spanish,F,"after all, the picture was only a resemblance.!"
he wondered too where roscoe was,data/l2arctic/NJS/wav/arctic_b0036.wav,NJS,Spanish,F,he wondered too where rolls-cole was.!
in her haste to get away she had forgotten these things,data/l2arctic/NJS/wav/arctic_b0038.wav,NJS,Spanish,F,"in her haste to get away, she had forgotten these things.!"
philip took a step toward gregson half determined to awaken him,data/l2arctic/NJS/wav/arctic_b0039.wav,NJS,Spanish,F,"philip took a step toward gregson, half determined to awaken him.!"
the thought set his blood tingling,data/l2arctic/NJS/wav/arctic_b0040.wav,NJS,Spanish,F,the thought set his blood tingling.!
but if pierre did not return until tomorrow,data/l2arctic/NJS/wav/arctic_b0041.wav,NJS,Spanish,F,"but if pierre did not return until tomorrow,!"
ten minutes had not elapsed since he had dropped the handkerchief,data/l2arctic/NJS/wav/arctic_b0042.wav,NJS,Spanish,F,ten minutes had not elapsed since he had dropped the handkerchief.!
it wont be for sale,data/l2arctic/NJS/wav/arctic_b0043.wav,NJS,Spanish,F,it won't be for sale.!
for a few moments he ate in silence,data/l2arctic/NJS/wav/arctic_b0044.wav,NJS,Spanish,F,for a few moments he ate in silence.!
philip did not pursue the subject,data/l2arctic/NJS/wav/arctic_b0045.wav,NJS,Spanish,F,philip did not pursue the subject.!
philip produced a couple of cigars and took a chair opposite him,data/l2arctic/NJS/wav/arctic_b0046.wav,NJS,Spanish,F,philip produced a couple of cigars and took a chair opposite him.!
suppose you saw me at work through the window,data/l2arctic/NJS/wav/arctic_b0047.wav,NJS,Spanish,F,suppose you saw me at work through the window.!
he looked like one who had passed through an uncomfortable hour or two,data/l2arctic/NJS/wav/arctic_b0048.wav,NJS,Spanish,F,he looked like one who had passed through an uncomfortable hour or two.!
there was nothing more except a large ink blot under the words,data/l2arctic/NJS/wav/arctic_b0049.wav,NJS,Spanish,F,"there was nothing more, except a large ink blood under the words.!"
all this day gregson remained in the cabin,data/l2arctic/NJS/wav/arctic_b0050.wav,NJS,Spanish,F,"all these days, gregson remained in the cabin.!"
the sixth day he spent in the cabin with gregson,data/l2arctic/NJS/wav/arctic_b0051.wav,NJS,Spanish,F,the sixth day he spent in the cabin with gregson.!
the flush was gone from her face,data/l2arctic/NJS/wav/arctic_b0052.wav,NJS,Spanish,F,the flush was gone from her face.!
that is why i am am rattled he laughed,data/l2arctic/NJS/wav/arctic_b0053.wav,NJS,Spanish,F,that is why i am unreadled. he left.!
she was even more beautiful than when i saw her before,data/l2arctic/NJS/wav/arctic_b0055.wav,NJS,Spanish,F,she was even more beautiful than when i saw her before.!
ill give a thousand if you produce her retorted gregson,data/l2arctic/NJS/wav/arctic_b0056.wav,NJS,Spanish,F,i'll give a thousand if you produce or retort gregson.!
they have won popular sentiment through the newspapers,data/l2arctic/NJS/wav/arctic_b0057.wav,NJS,Spanish,F,they have won popular sentiment through the newspapers.!
we must achieve our own salvation,data/l2arctic/NJS/wav/arctic_b0058.wav,NJS,Spanish,F,we must achieve our own salvation.!
in moments of mental energy philip was restless,data/l2arctic/NJS/wav/arctic_b0059.wav,NJS,Spanish,F,"in moments of mental energy, philip was restless.!"
he would keep his faith with gregson for the promised day or two,data/l2arctic/NJS/wav/arctic_b0060.wav,NJS,Spanish,F,he would keep his faith with gregson for the promised day or two.!
something about it seemed to fascinate him to challenge his presence,data/l2arctic/NJS/wav/arctic_b0061.wav,NJS,Spanish,F,something about it seemed to fascinate him to challenge his presence.!
now it was missing from the wall,data/l2arctic/NJS/wav/arctic_b0062.wav,NJS,Spanish,F,not it was missing from the wall.!
he boiled himself some coffee and sat down to wait,data/l2arctic/NJS/wav/arctic_b0063.wav,NJS,Spanish,F,he bought himself some coffee and sat down to wait.!
im going down there with you and im going to fight,data/l2arctic/NJS/wav/arctic_b0064.wav,NJS,Spanish,F,i'm going down there with you and i'm going to fight.!
now have you got anything to say against me mister philip,data/l2arctic/NJS/wav/arctic_b0065.wav,NJS,Spanish,F,"now have you got anything to say against me, mr. phillips?"
if i meet her again i shall apologize said eileen,data/l2arctic/NJS/wav/arctic_b0066.wav,NJS,Spanish,F,"if i meet her again, i shall apologize,"" said eileen."
below him the shadow was broken into a pool of rippling starlight,data/l2arctic/NJS/wav/arctic_b0067.wav,NJS,Spanish,F,"below him, the shadow was broken into a pool of rippling starlight."
only the chance sound had led him to observe them,data/l2arctic/NJS/wav/arctic_b0068.wav,NJS,Spanish,F,only the chance sound had led him to absorb them.
could the incident have anything to do with jeanne and pierre,data/l2arctic/NJS/wav/arctic_b0069.wav,NJS,Spanish,F,could the incident have anything to do with jean and peter?
there was no chance to fire without hitting him,data/l2arctic/NJS/wav/arctic_b0070.wav,NJS,Spanish,F,there was no chance to fire without hitting him.
then he hastened on as pierre had guided him,data/l2arctic/NJS/wav/arctic_b0072.wav,NJS,Spanish,F,"then he has turned on, as pir had guided him."
with these arguments he convinced himself that he should go on alone,data/l2arctic/NJS/wav/arctic_b0073.wav,NJS,Spanish,F,"with these arguments, he convinced himself that he should go on alone."
yet behind them there was another and more powerful motive,data/l2arctic/NJS/wav/arctic_b0074.wav,NJS,Spanish,F,"yet, behind them there was another and more powerful motive."
in that case he could not miss them if he used caution,data/l2arctic/NJS/wav/arctic_b0075.wav,NJS,Spanish,F,"in that case, he could not miss them if he used caution."
before philip could recover himself jeannes startled guards were upon him,data/l2arctic/NJS/wav/arctic_b0076.wav,NJS,Spanish,F,"before philip could recover himself, jenny's startled guards were up on him."
it is the nearest refuge,data/l2arctic/NJS/wav/arctic_b0077.wav,NJS,Spanish,F,it is the nearest refuge.
there was pride and strength the ring of triumph in his voice,data/l2arctic/NJS/wav/arctic_b0078.wav,NJS,Spanish,F,"there was pride and strength, the reign of triumph in his voice."
the truth of it set jeanne quivering,data/l2arctic/NJS/wav/arctic_b0079.wav,NJS,Spanish,F,"the truth of it, said jeanne quivarin."
tomorrow it will be strong enough for you to stand upon,data/l2arctic/NJS/wav/arctic_b0080.wav,NJS,Spanish,F,"tomorrow, it will be strong enough for you to stand upon."
you were going to leave after you saw me on the rock,data/l2arctic/NJS/wav/arctic_b0081.wav,NJS,Spanish,F,you were going to leave after you saw me on the rock.
he bit his tongue and cursed himself at this fresh break,data/l2arctic/NJS/wav/arctic_b0082.wav,NJS,Spanish,F,he bit his tongue and cursed himself at his fresh break.
in it there was something that was almost tragedy,data/l2arctic/NJS/wav/arctic_b0083.wav,NJS,Spanish,F,"in it, there was something that was almost tragedy."
your face is red with blood,data/l2arctic/NJS/wav/arctic_b0084.wav,NJS,Spanish,F,your face is red with blood.
her eyes smiled truth at him as he came up the bank,data/l2arctic/NJS/wav/arctic_b0085.wav,NJS,Spanish,F,her eyes smiled at him as he came up the bank.
he can care for himself,data/l2arctic/NJS/wav/arctic_b0086.wav,NJS,Spanish,F,he can care for himself.
they will search for us between their camp and churchill,data/l2arctic/NJS/wav/arctic_b0087.wav,NJS,Spanish,F,they will search for us between their camp and churchill.
her beautiful hair was done up in shining coils,data/l2arctic/NJS/wav/arctic_b0089.wav,NJS,Spanish,F,her beautiful hair was done up in shining coils.
the churchill narrowed and its current became swifter as they progressed,data/l2arctic/NJS/wav/arctic_b0090.wav,NJS,Spanish,F,the churchill narrowed and his current became swifter as they progressed.
for a full half minute jeanne looked at him without speaking,data/l2arctic/NJS/wav/arctic_b0091.wav,NJS,Spanish,F,"for a full half-minute, jenny looked at him without speaking."
i want to die in it,data/l2arctic/NJS/wav/arctic_b0092.wav,NJS,Spanish,F,i want to dye in it.
darkness hid him from jeanne,data/l2arctic/NJS/wav/arctic_b0093.wav,NJS,Spanish,F,darkness hid him from jenny.
and yet if she came he had no words to say,data/l2arctic/NJS/wav/arctic_b0094.wav,NJS,Spanish,F,"and yet, if she came, he had no words to say."
he heard a sound which brought him quickly into consciousness of day,data/l2arctic/NJS/wav/arctic_b0095.wav,NJS,Spanish,F,he heard a sound which brought him quickly into consciousness of day.
within himself he called it no longer his own,data/l2arctic/NJS/wav/arctic_b0096.wav,NJS,Spanish,F,"within himself, he called it no longer his own."
besides that noise makes me deaf,data/l2arctic/NJS/wav/arctic_b0097.wav,NJS,Spanish,F,"besides, thy noise makes me deaf."
philip looked back from the crest and saw jeanne leaning over the canoe,data/l2arctic/NJS/wav/arctic_b0098.wav,NJS,Spanish,F,philip looked back from the crest and saw jenny leaning over the canoe.
fifty yards ahead of her were the first of the rocks,data/l2arctic/NJS/wav/arctic_b0099.wav,NJS,Spanish,F,50 years ahead of her were the first of the rocks.
there was one chance and only one of saving jeanne,data/l2arctic/NJS/wav/arctic_b0100.wav,NJS,Spanish,F,there was one chance and only one of saving jenny.
youre a devil for fighting and will surely win,data/l2arctic/NJS/wav/arctic_b0101.wav,NJS,Spanish,F,you are a devil for fighting and will surely win.
ill only be in the way,data/l2arctic/NJS/wav/arctic_b0102.wav,NJS,Spanish,F,i'd only be in the way.
he lifted his eyes and a strange cry burst from his lips,data/l2arctic/NJS/wav/arctic_b0103.wav,NJS,Spanish,F,he lifted his eyes and a strange cry burst from his lips.
shooting pains passed like flashes of electricity through his body,data/l2arctic/NJS/wav/arctic_b0104.wav,NJS,Spanish,F,shooting pains past like flashes of electricity through his body.
for a full minute the two men stared into each others face,data/l2arctic/NJS/wav/arctic_b0106.wav,NJS,Spanish,F,"for a full minute, the two men start into each other's face."
he was sure now of but few things,data/l2arctic/NJS/wav/arctic_b0107.wav,NJS,Spanish,F,he was sure now of but few things.
it was a miracle and i owe you my life,data/l2arctic/NJS/wav/arctic_b0108.wav,NJS,Spanish,F,it was a miracle and i owe you my life.
philip ate lightly of the food which pierre had ready for him,data/l2arctic/NJS/wav/arctic_b0109.wav,NJS,Spanish,F,philip ate lightly of the food which pierre had already for him.
such men believe when they come together,data/l2arctic/NJS/wav/arctic_b0110.wav,NJS,Spanish,F,such men believe when they come together.
the journey was continued at dawn,data/l2arctic/NJS/wav/arctic_b0111.wav,NJS,Spanish,F,the journey was continued at dawn.
jeanne and pierre both gazed toward the great rock,data/l2arctic/NJS/wav/arctic_b0112.wav,NJS,Spanish,F,jenny and pierre both gazed toward the great rock.
there was something pathetic in the girls attitude now,data/l2arctic/NJS/wav/arctic_b0113.wav,NJS,Spanish,F,there was something pathetic in the girl's attitude now.
he moved his position and the illusion was gone,data/l2arctic/NJS/wav/arctic_b0114.wav,NJS,Spanish,F,he moved his position and the illusion was gone.
for two hours not a word passed between them,data/l2arctic/NJS/wav/arctic_b0115.wav,NJS,Spanish,F,"for two hours, not a word passed between them."
i have hunted along this ridge replied philip,data/l2arctic/NJS/wav/arctic_b0116.wav,NJS,Spanish,F,"i have hunted along this ridge,"" replied philip."
thats thorpes said the young engineer,data/l2arctic/NJS/wav/arctic_b0117.wav,NJS,Spanish,F,zastarps said the young engineer.
we saw your light and thought you wouldnt mind a call,data/l2arctic/NJS/wav/arctic_b0118.wav,NJS,Spanish,F,we saw your light and thought you wouldn't mind a call.
billinger may arrive in time,data/l2arctic/NJS/wav/arctic_b0119.wav,NJS,Spanish,F,billinger may arrive in time.
theres the hitch replied thorpe rolling a cigarette,data/l2arctic/NJS/wav/arctic_b0120.wav,NJS,Spanish,F,"there's the hitch replied torb, rolling a cigarette."
